ID,value,layer,type,soil_var,res,site_code,sp_code,elev_code
9,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PISYL_PORTUGOS_L,sylvestris,low
10,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PISYL_PORTUGOS_M,sylvestris,medium
11,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PISYL_PORTUGOS_H,sylvestris,high
12,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PIHAL_NACIMIENTO_L,halepensis,low
13,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PIHAL_RAGUA_H,halepensis,high
1,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PINIG_LANTEIRA_M,nigra,medium
3,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PINIG_LANTEIRA_L2,nigra,low
4,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PINIG_LANTEIRA_H,nigra,high
5,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PIPIN_JEREZ_L,pinaster,low
7,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PIPIN_JEREZ_M,pinaster,medium
8,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PIPIN_JEREZ_H,pinaster,high
9,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PISYL_PORTUGOS_L,sylvestris,low
10,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PISYL_PORTUGOS_M,sylvestris,medium
11,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PISYL_PORTUGOS_H,sylvestris,high
12,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PIHAL_NACIMIENTO_L,halepensis,low
13,8.589937210083008,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Superficial,250,PIHAL_RAGUA_H,halepensis,high
1,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PINIG_LANTEIRA_M,nigra,medium
3,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PINIG_LANTEIRA_L2,nigra,low
