tmed,modelo,pred,name_modelo
19,mtrat6,0.1999215916800366,Logistic_Mod
19.5,mtrat1,6.933125460317225e-4,Gaussian
19.5,mtrat2,0.0024844630747374837,Gaussian Extended
19.5,mtrat3,0.006817566511137288,Log-normal
19.5,mtrat4,0.003638713570835516,Logistic
19.5,mtrat5,0.02042847566287454,Asymptotic
19.5,mtrat6,0.19992154266006598,Logistic_Mod
20,mtrat1,4.1619053644123305e-4,Gaussian
20,mtrat2,0.0018167993965077006,Gaussian Extended
20,mtrat3,0.005624017500814196,Log-normal
20,mtrat4,0.002839175744824401,Logistic
20,mtrat5,0.018910040292022978,Asymptotic
20,mtrat6,0.1999215222130385,Logistic_Mod
20.5,mtrat1,2.4555104337450537e-4,Gaussian
20.5,mtrat2,0.001321587752340791,Gaussian Extended
20.5,mtrat3,0.004645195825914315,Log-normal
20.5,mtrat4,0.0022149305418084617,Logistic
20.5,mtrat5,0.01764031786889378,Asymptotic
20.5,mtrat6,0.19992151368425098,Logistic_Mod
21,mtrat1,1.4238944864506767e-4,Gaussian
21,mtrat2,9.563939391450422e-4,Gaussian Extended
21,mtrat3,0.003841596313463754,Log-normal
21,mtrat4,0.001727699366120266,Logistic
21,mtrat5,0.01657857032089445,Asymptotic
21,mtrat6,0.1999215101267552,Logistic_Mod
21.5,mtrat1,8.115219560976023e-5,Gaussian
21.5,mtrat2,6.885965347628868e-4,Gaussian Extended
21.5,mtrat3,0.003181102037381693,Log-normal
21.5,mtrat4,0.0013475025261247375,Logistic
21.5,mtrat5,0.01569073229019767,Asymptotic
21.5,mtrat6,0.1999215086428659,Logistic_Mod
22,mtrat1,4.54578804141409e-5,Gaussian
22,mtrat2,4.933031175933328e-4,Gaussian Extended
22,mtrat3,0.002637590767343778,Log-normal
22,mtrat4,0.0010508835771872898,Logistic
22,mtrat5,0.01494831817279577,Asymptotic
22,mtrat6,0.1999215080239116,Logistic_Mod
22.5,mtrat1,2.5026754344437657e-5,Gaussian
22.5,mtrat2,3.516545132853969e-4,Gaussian Extended
22.5,mtrat3,0.0021898035107119716,Log-normal
22.5,mtrat4,8.195042842749908e-4,Logistic
22.5,mtrat5,0.014327508179688057,Asymptotic
22.5,mtrat6,0.1999215077657357,Logistic_Mod
23,mtrat1,1.3542109498938154e-5,Gaussian
23,mtrat2,2.494610483180324e-4,Gaussian Extended
23,mtrat3,0.0018204268936726428,Log-normal
23,mtrat4,6.390365582169757e-4,Logistic
23,mtrat5,0.01380838409717312,Asymptotic
23,mtrat6,0.19992150765804634,Logistic_Mod
23.5,mtrat1,7.202023811899776e-6,Gaussian
23.5,mtrat2,1.761177417708235e-4,Gaussian Extended
23.5,mtrat3,0.0015153495247117732,Log-normal
23.5,mtrat4,4.982908431692836e-4,Logistic
23.5,mtrat5,0.013374290226199913,Asymptotic
23.5,mtrat6,0.19992150761312735,Logistic_Mod
24,mtrat1,3.764516684006481e-6,Gaussian
24,mtrat2,1.2375013685245808e-4,Gaussian Extended
24,mtrat3,0.0012630596133582075,Log-normal
24,mtrat4,3.88531860511275e-4,Logistic
24,mtrat5,0.013011298997005531,Asymptotic
24,mtrat6,0.19992150759439092,Logistic_Mod
24.5,mtrat1,1.933972707646802e-6,Gaussian
24.5,mtrat2,8.654814219595763e-5,Gaussian Extended
24.5,mtrat3,0.001054157094105742,Log-normal
24.5,mtrat4,3.029422621876411e-4,Logistic
24.5,mtrat5,0.012707764113694127,Asymptotic
24.5,mtrat6,0.19992150758657565,Logistic_Mod
25,mtrat1,9.765127030556218e-7,Gaussian
25,mtrat2,6.025117294429684e-5,Gaussian Extended
25,mtrat3,8.809584679487024e-4,Log-normal
25,mtrat4,2.3620272248528265e-4,Logistic
25,mtrat5,0.01245394689174265,Asymptotic
25,mtrat6,0.19992150758331578,Logistic_Mod
