prec,modelo,pred,name_modelo
121,mprecrat3,0.02567770538904578,Log-normal
121,mprecrat4,0.12234699256127687,Asymptotic
121,mprecrat5,0.07559145109752033,Gompertz
122,mprecrat1,0.07495739941515893,Gaussian
122,mprecrat3,0.026185773611796498,Log-normal
122,mprecrat4,0.1225862174003172,Asymptotic
122,mprecrat5,0.07634964250924885,Gompertz
123,mprecrat1,0.07524291464841366,Gaussian
123,mprecrat3,0.026697603526142012,Log-normal
123,mprecrat4,0.12282539832512089,Asymptotic
123,mprecrat5,0.07711186335219873,Gompertz
124,mprecrat1,0.07552917497664582,Gaussian
124,mprecrat3,0.027213145583093738,Log-normal
124,mprecrat4,0.12306453335153894,Asymptotic
124,mprecrat5,0.07787809959687085,Gompertz
125,mprecrat1,0.07581618063387603,Gaussian
125,mprecrat3,0.02773235032876186,Log-normal
125,mprecrat4,0.12330362049694991,Asymptotic
125,mprecrat5,0.0786483369329291,Gompertz
126,mprecrat1,0.07610393184485777,Gaussian
126,mprecrat3,0.028255168417276957,Log-normal
126,mprecrat4,0.12354265778032562,Asymptotic
126,mprecrat5,0.07942256077152643,Gompertz
127,mprecrat1,0.076392428825038,Gaussian
127,mprecrat3,0.02878155062315412,Log-normal
127,mprecrat4,0.1237816432222964,Asymptotic
127,mprecrat5,0.08020075624766418,Gompertz
128,mprecrat1,0.07668167178051807,Gaussian
128,mprecrat3,0.029311447853118955,Log-normal
128,mprecrat4,0.12402057484521647,Asymptotic
128,mprecrat5,0.08098290822258264,Gompertz
129,mprecrat1,0.07697166090801436,Gaussian
129,mprecrat3,0.02984481115741331,Log-normal
129,mprecrat4,0.12425945067322904,Asymptotic
129,mprecrat5,0.08176900128618268,Gompertz
130,mprecrat1,0.07726239639481937,Gaussian
130,mprecrat3,0.030381591740598,Log-normal
130,mprecrat4,0.12449826873233145,Asymptotic
130,mprecrat5,0.08255901975947764,Gompertz
131,mprecrat1,0.07755387841876249,Gaussian
131,mprecrat3,0.030921740971869883,Log-normal
131,mprecrat4,0.12473702705043997,Asymptotic
131,mprecrat5,0.08335294769707466,Gompertz
132,mprecrat1,0.07784610714817115,Gaussian
132,mprecrat3,0.031465210394909474,Log-normal
132,mprecrat4,0.12497572365745466,Asymptotic
132,mprecrat5,0.08415076888968472,Gompertz
133,mprecrat1,0.07813908274183187,Gaussian
133,mprecrat3,0.03201195173727529,Log-normal
133,mprecrat4,0.12521435658532393,Asymptotic
133,mprecrat5,0.0849524668666607,Gompertz
134,mprecrat1,0.07843280534895136,Gaussian
134,mprecrat3,0.03256191691936009,Log-normal
134,mprecrat4,0.12545292386810913,Asymptotic
134,mprecrat5,0.08575802489856264,Gompertz
135,mprecrat1,0.07872727510911798,Gaussian
135,mprecrat3,0.03311505806292429,Log-normal
135,mprecrat4,0.12569142354204882,Asymptotic
135,mprecrat5,0.08656742599974926,Gompertz
136,mprecrat1,0.07902249215226274,Gaussian
136,mprecrat3,0.03367132749922094,Log-normal
136,mprecrat4,0.12592985364562292,Asymptotic
136,mprecrat5,0.08738065293099588,Gompertz
137,mprecrat1,0.07931845659862091,Gaussian
137,mprecrat3,0.03423067777672617,Log-normal
137,mprecrat4,0.12616821221961688,Asymptotic
137,mprecrat5,0.08819768820213644,Gompertz
138,mprecrat1,0.07961516855869336,Gaussian
138,mprecrat3,0.03479306166848889,Log-normal
138,mprecrat4,0.12640649730718542,Asymptotic
138,mprecrat5,0.08901851407473041,Gompertz
139,mprecrat1,0.07991262813320815,Gaussian
139,mprecrat3,0.03535843217911307,Log-normal
139,mprecrat4,0.12664470695391633,Asymptotic
139,mprecrat5,0.089843112564753,Gompertz
140,mprecrat1,0.08021083541308213,Gaussian
140,mprecrat3,0.03592674255138477,Log-normal
140,mprecrat4,0.1268828392078939,Asymptotic
140,mprecrat5,0.090671465445308,Gompertz
141,mprecrat1,0.08050979047938267,Gaussian
141,mprecrat3,0.036497946272557126,Log-normal
141,mprecrat4,0.12712089211976235,Asymptotic
141,mprecrat5,0.09150355424936307,Gompertz
142,mprecrat1,0.08080949340328933,Gaussian
142,mprecrat3,0.03707199708030436,Log-normal
