system:index,EVI,LAI,NDVI,Specie,date,elev,lat,long,pies,radius_m,site_code,site_name,.geo
2000_04_22_00000000000000000004,2483,1.08,4643,Pinus_pinaster,2021-10-27T00:00:00Z,1433,37.15454,-3.13756,37,12.1,PIPIN_LANTEIRA_L2,LANTERIA_L2,"{""type"":""Point"",""coordinates"":[-3.137561733337176,37.15454095302077]}"
2000_04_22_00000000000000000005,2267,1.48,5463,Pinus_pinaster,2021-10-26T00:00:00Z,1353,37.18253,-3.17767,41,11.6,PIPIN_JEREZ_L,JEREZ_L,"{""type"":""Point"",""coordinates"":[-3.177671347312922,37.18253073033325]}"
2000_04_22_00000000000000000006,3216,1.73,5800,Pinus_pinaster,2018-05-09T00:00:00Z,1605,37.16089,-3.19681,33,11.0,PIPIN_JEREZ_M,JEREZ_M,"{""type"":""Point"",""coordinates"":[-3.196805349933258,37.160890712920875]}"
2000_04_22_00000000000000000007,3067,1.94,5567,Pinus_pinaster,2020-10-06T00:00:00Z,1770,37.135,-3.198,40,9.0,PIPIN_JEREZ_H,JEREZ_H,"{""type"":""Point"",""coordinates"":[-3.1980003890155833,37.13500117220457]}"
2000_04_22_00000000000000000000,2086,1.59,4863,Pinus_halepensis,2018-12-28T00:00:00Z,1212,37.08871,-2.68649,41,10.0,PIHAL_NACIMIENTO_M,NAC_HALEPENSIS,"{""type"":""Point"",""coordinates"":[-2.686487988972699,37.088711244168756]}"
2000_04_22_00000000000000000010,1787,1.33,4083,Pinus_halepensis,2022-06-13T00:00:00Z,974,37.1101,-2.69854,41,8.7,PIHAL_NACIMIENTO_L,NAC_HALEPENSIS_2,"{""type"":""Point"",""coordinates"":[-2.6985409391201634,37.11010155192212]}"
2000_04_22_00000000000000000011,2334,1.36,4564,Pinus_halepensis,2022-06-15T00:00:00Z,1359,37.16982,-3.05232,40,11.3,PIHAL_RAGUA_H,RAG PIHA 3,"{""type"":""Point"",""coordinates"":[-3.052321557599505,37.16981783322988]}"
2000_04_22_00000000000000000008,2875,3.11,4696,Pinus_sylvestris,2018-11-28T00:00:00Z,1633,36.95607,-3.30093,37,13.0,PISYL_PORTUGOS_L,PORTUGOS_L,"{""type"":""Point"",""coordinates"":[-3.3009298186322735,36.9560663651319]}"
2000_04_22_00000000000000000009,2832,3.36,4909,Pinus_sylvestris,2018-12-11T00:00:00Z,1748,36.96002,-3.30361,47,9.0,PISYL_PORTUGOS_M,PORTUGOS_M,"{""type"":""Point"",""coordinates"":[-3.3036097383653944,36.96001712866525]}"
2000_04_22_0000000000000000000a,3131,3.63,4777,Pinus_sylvestris,2018-11-28T00:00:00Z,2000,36.96598,-3.31321,35,9.0,PISYL_PORTUGOS_H,PORTUGOS_H,"{""type"":""Point"",""coordinates"":[-3.313214642034517,36.9659789467737]}"
2000_04_22_0000000000000000000b,1563,1.59,2936,Quercus_pyrenaica,2018-10-24T00:00:00Z,1729,36.95328,-3.42906,59,10.0,QUPYR_CANAR_L,CAN_L,"{""type"":""Point"",""coordinates"":[-3.429062087403041,36.95327942697349]}"
2000_04_22_0000000000000000000c,1634,NA,3115,Quercus_pyrenaica,2018-11-30T00:00:00Z,1897,36.96031,-3.43163,59,9.0,QUPYR_CANAR_H,CAN_H,"{""type"":""Point"",""coordinates"":[-3.431626070508772,36.960306970233724]}"
2000_04_22_0000000000000000000f,2337,1.07,4157,Quercus_pyrenaica/Quercus_ilex,2018-12-11T00:00:00Z,1669,36.95476,-3.31515,38,9.0,QUER_PORTUGOS,PORTUGOS,"{""type"":""Point"",""coordinates"":[-3.315154350992766,36.95475538942218]}"
2000_05_08_00000000000000000001,2227,1.84,5619,Pinus_nigra,2018-05-10T00:00:00Z,1646,37.14336,-3.14902,39,9.0,PINIG_LANTEIRA_M,LANTEIRA_M,"{""type"":""Point"",""coordinates"":[-3.14901716394348,37.14335752757873]}"
2000_05_08_00000000000000000002,2151,1.29,5114,Pinus_nigra,2021-10-27T00:00:00Z,1585,37.14837,-3.14652,40,13.3,PINIG_LANTEIRA_L2,LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.14652006735355,37.1483695571628]}"
2000_05_08_00000000000000000003,2099,1.95,5224,Pinus_nigra,2020-10-06T00:00:00Z,1810,37.132,-3.147,41,8.9,PINIG_LANTEIRA_H,LANTEIRA_H,"{""type"":""Point"",""coordinates"":[-3.1470016502673217,37.1320001971956]}"
