site_code,sp_elev,Specie,elev_code,sp_code,season,mean_tau,sd_tau,mean_pvalue_mk,sd_pvalue_mk,mean_senslope,sd_senslope,mean_pvalue_sen,sd_pvalue_sen,ypos,p_value_string,taulabel
PINIG_LANTEIRA_M,nigra_medium,P. nigra,medium,nigra,yearly,-0.13833993673324585,-0.15415020287036896,0.3692092299461365,0.31557267904281616,-4.592885375494061e-4,-3.140474394457109e-4,0.3692092650321578,0.3155727359639028,0.46,,"tau == ""-0.14"""
PIPIN_JEREZ_H,pinaster_high,P. pinaster,high,pinaster,autumn,0.2648221552371979,0.06719367951154709,0.081317901611328125,0.6726109981536865,0.0014412698412698411,1.4960233019850958e-4,0.08131787390348359,0.6726109872286649,0.49,,"tau == ""0.26"""
PIPIN_JEREZ_H,pinaster_high,P. pinaster,high,pinaster,spring,0.22529645264148712,-0.16996048390865326,0.1391441822052002,0.2673269510269165,0.0010708333333333347,-3.9443454027955464e-4,0.13914417482242494,0.2673270197885057,0.49,,"tau == ""0.23"""
PIPIN_JEREZ_H,pinaster_high,P. pinaster,high,pinaster,summer,0.16996048390865326,-0.27272728085517883,0.2673269510269165,0.07250864058732986,0.0010201754385964928,-5.71549048513549e-4,0.2673270197885057,0.07250866728742085,0.49,,"tau == ""0.17"""
PIPIN_JEREZ_H,pinaster_high,P. pinaster,high,pinaster,winter,0.11881212145090103,-0.3122529685497284,0.4435749053955078,0.03939703851938248,9.352941176470603e-4,-9.214788470493721e-4,0.4435748657178069,0.0393970496843573,0.49,,"tau == ""0.12"""
PIPIN_JEREZ_H,pinaster_high,P. pinaster,high,pinaster,yearly,0.20948617160320282,-0.24110673367977142,0.1696455478668213,0.11305099725723267,9.450310559006224e-4,-2.650730093258717e-4,0.16964551331109712,0.11305101958707044,0.49,,"tau == ""0.21"""
PIPIN_JEREZ_L,pinaster_low,P. pinaster,low,pinaster,autumn,-0.02766798622906208,-0.13833993673324585,0.874092161655426,0.3692092299461365,-3.599999999999992e-4,-3.5814972231794156e-4,0.8740921801633091,0.3692092650321578,0.43,,"tau == ""-0.03"""
PIPIN_JEREZ_L,pinaster_low,P. pinaster,low,pinaster,spring,-0.003952569328248501,-0.011857707984745502,1,0.957874596118927,-4.761904761912168e-6,-1.2602097922250268e-5,1,0.9578745987779059,0.43,,"tau == ""0"""
PIPIN_JEREZ_L,pinaster_low,P. pinaster,low,pinaster,summer,0.03557312488555908,0.1146245151758194,0.8326659202575684,0.4596078395843506,2.166666666666666e-4,2.5656726401542706e-4,0.8326659395181515,0.45960782304895875,0.43,,"tau == ""0.04"""
PIPIN_JEREZ_L,pinaster_low,P. pinaster,low,pinaster,winter,-0.03557312488555908,0.043478261679410934,0.8326659202575684,0.7916994094848633,-2.9761904761904857e-4,1.0803104220450505e-4,0.8326659395181515,0.7916993472718744,0.43,,"tau == ""-0.04"""
PIPIN_JEREZ_L,pinaster_low,P. pinaster,low,pinaster,yearly,-0.03557312488555908,-0.003952569328248501,0.8326659202575684,1,-2.05706521739131e-4,-1.6059931809400744e-5,0.8326659395181515,1,0.43,,"tau == ""-0.04"""
PIPIN_JEREZ_M,pinaster_medium,P. pinaster,medium,pinaster,autumn,-0.18577076494693756,-0.21739131212234497,0.22441142797470093,0.15382078289985657,-7.524999999999962e-4,-5.555303934333899e-4,0.22441148378657244,0.15382082239203035,0.46,,"tau == ""-0.19"""
PIPIN_JEREZ_M,pinaster_medium,P. pinaster,medium,pinaster,spring,-0.12252964824438095,-0.0988142341375351,0.42817774415016174,0.5261780619621277,-3.766666666666659e-4,-2.7098716215010756e-4,0.42817779030963826,0.5261780967197714,0.46,,"tau == ""-0.12"""
PIPIN_JEREZ_M,pinaster_medium,P. pinaster,medium,pinaster,summer,-0.003952569328248501,-0.5810276865959167,1,1.1529192124726251e-4,-6.666666666665932e-6,-0.0011723101588439326,1,1.1529206539108982e-4,0.46,,"tau == ""0"""
PIPIN_JEREZ_M,pinaster_medium,P. pinaster,medium,pinaster,winter,-0.1620553433895111,-0.1462450623512268,0.2907770872116089,0.34171783924102783,-8.000000000000044e-4,-4.3436590706100853e-4,0.29077716928272723,0.34171788004556686,0.46,,"tau == ""-0.16"""
PIPIN_JEREZ_M,pinaster_medium,P. pinaster,medium,pinaster,yearly,-0.0988142341375351,-0.36758896708488464,0.5261780619621277,0.01510873343795538,-4.7142857142857105e-4,-5.093917947286876e-4,0.5261780967197714,0.015108741031785987,0.46,,"tau == ""-0.1"""
PIPIN_LANTEIRA_L2,pinaster_low-Dec,P. pinaster,low-Dec,pinaster,autumn,0.27272728085517883,0.0988142341375351,0.07250869274139404,0.5261781215667725,6.800000000000139e-4,2.4314882534662673e-4,0.07250866728742085,0.5261780967197714,0.4,,"tau == ""0.27"""
PIPIN_LANTEIRA_L2,pinaster_low-Dec,P. pinaster,low-Dec,pinaster,spring,-0.003952569328248501,-0.1146245151758194,1,0.4596077799797058,-3.1746031746033534e-5,-2.641284463085699e-4,1,0.45960782304895875,0.4,,"tau == ""0"""
PIPIN_LANTEIRA_L2,pinaster_low-Dec,P. pinaster,low-Dec,pinaster,summer,0.02766798622906208,-0.2648221552371979,0.87409210205078125,0.08131784945726395,9.687499999999974e-5,-4.375608482632624e-4,0.8740921801633091,0.08131787390348359,0.4,,"tau == ""0.03"""
PIPIN_LANTEIRA_L2,pinaster_low-Dec,P. pinaster,low-Dec,pinaster,winter,-0.20158104598522186,-0.27272728085517883,0.18666048347949982,0.07250864058732986,-0.0010236111111111095,-5.624189765142784e-4,0.18666052241558184,0.07250866728742085,0.4,,"tau == ""-0.2"""
