"","year1","IBT_ag","IST","IBR","BT_ag","ST","BR","IBT_ag_m2","IST_m2","IBR_m2","BT_m2","ST_m2","BR_m2"
"26",1990,66481.8496118538,45627.4169503509,16745.757774334,1008563.35980182,619911.417373498,234058.248942476,261.536550415023,179.496167799384,65.8770438541465,3967.64204873329,2438.70311384724,920.77442763688
"27",1991,72145.8586781723,50253.5971778815,18370.185129918,1080709.21848,670165.014551379,252428.434072394,283.8185025775,197.695348859635,72.267466645625,4251.4605513108,2636.39846270688,993.041894282505
"28",1992,55863.6457381288,39144.817830643,14286.4023225765,1136572.86421812,709309.832382022,266714.83639497,219.765022863504,153.993919871709,56.2020521857085,4471.2255741743,2790.39238257859,1049.24394646821
"29",1993,50901.145947374,35656.0470467574,13014.2856687372,1187474.0101655,744965.879428779,279729.122063708,200.242776050475,140.269255450768,51.1976035532907,4671.46835022477,2930.66163802936,1100.4415500215
"30",1994,41522.680907833,29395.6877640303,10698.7820876272,1228996.69107333,774361.56719281,290427.904151335,163.348324272285,115.64128885955,42.0885185532076,4834.81667449706,3046.30292688891,1142.53006857471
"31",1995,21051.1899712683,15064.2559273827,5467.1215130906,1250047.8810446,789425.823120193,295895.025664425,82.8144168575475,59.2620926285761,21.5074055487549,4917.63109135461,3105.56501951748,1164.03747412347
"32",1996,46062.3436187928,32914.5183900559,11950.2321910779,1296110.22466339,822340.341510248,307845.257855503,181.207149386267,129.484207322237,47.0116659232629,5098.83824074087,3235.04922683972,1211.04914004673
"33",1997,49261.8937649621,35217.8804139973,12784.3707443731,1345372.11842836,857558.221924246,320629.628599877,193.794033069476,138.545527992701,50.2931287747133,5292.63227381035,3373.59475483242,1261.34226882144
"34",1998,64077.043373568,45942.6307981744,16664.3231636498,1409449.16180192,903500.85272242,337293.951763526,252.076152853135,180.736204634763,65.5566838267545,5544.70842666348,3554.33095946718,1326.8989526482
"35",1999,32674.239100164,23444.2207122858,8502.13938120815,1442123.40090209,926945.073434706,345796.091144735,128.538959604531,92.2284901526927,33.4470267883826,5673.24738626801,3646.55944961988,1360.34597943658
"36",2000,93659.7329520001,67739.2998323853,24513.2214151126,1535783.13385409,994684.373267091,370309.312559847,368.453098282795,266.483301970771,96.4338899398657,6041.70048455081,3913.04275159065,1456.77986937645
"37",2001,99270.7360611857,72403.8344467092,26141.7650483833,1635053.86991527,1067088.2077138,396451.07760823,390.526527438453,284.833367431407,102.840505979171,6432.22701198926,4197.87611902205,1559.62037535562
"38",2002,65552.5275018851,47927.9826309129,17293.0738578055,1700606.39741716,1115016.19034471,413744.151466036,257.880639812585,188.546487783112,68.030160250479,6690.10765180185,4386.42260680517,1627.6505356061
"39",2003,82199.9178411522,60194.9083002786,21709.4162258209,1782806.31525831,1175211.09864499,435453.567691857,323.370710684019,236.804011340209,85.4038487854099,7013.47836248587,4623.22661814538,1713.05438439151
"40",2004,84299.4056587327,62324.7491919812,22420.1450090833,1867105.72091704,1237535.84783697,457873.71270094,331.629999567439,245.182707826557,88.1998232557407,7345.10836205331,4868.40932597193,1801.25420764725
"41",2005,32165.1380515966,23745.4220338166,8545.40460228944,1899270.85896864,1261281.26987079,466419.11730323,126.536179404636,93.4134023516392,33.6172301858603,7471.64454145794,4961.82272832357,1834.87143783311
"42",2006,35289.5648379095,26261.6973465636,9430.87812299497,1934560.42380655,1287542.96721735,475849.995426225,138.827531232051,103.312314145348,37.1006424471203,7610.47207268999,5065.13504246892,1871.97208028023
"43",2007,30162.0128451509,22457.6145670583,8063.66235682316,1964722.4366517,1310000.58178441,483913.657783048,118.655976618434,88.3472267800946,31.7220782638841,7729.12804930843,5153.48226924901,1903.69415854411
"44",2008,57147.6411239587,42762.7596339213,15333.929815641,2021870.07777566,1352763.34141833,499247.587598689,224.816201883332,168.226737164792,60.3229773495016,7953.94425119176,5321.70900641381,1964.01713589361
"45",2009,51192.4386587826,38557.3921408728,13801.7995622886,2073062.51643444,1391320.73355921,513049.387160977,201.388708231178,151.683014121875,54.2956471294823,8155.33295942294,5473.39202053568,2018.3127830231
"46",2010,50930.1070955967,38394.0252092716,13739.9177477019,2123241.17399666,1429420.38502367,526663.779953119,200.356707880688,151.040336097838,54.0522069060993,8352.73349926803,5623.27430380858,2071.87118050512
"47",2011,66210.3455758181,50123.3736140984,17917.5508383195,2189451.51957248,1479543.75863777,544581.330791438,260.468465976592,197.183055326085,70.4868240805432,8613.20196524462,5820.45735913466,2142.35800458566
"48",2012,24825.735379899,18833.8450436233,6728.78883734402,2214277.25495238,1498377.60368139,551310.119628782,97.6633055590754,74.0914835029207,26.4707469973321,8710.8652708037,5894.54884263759,2168.82875158299
"49",2013,70051.9583556764,53188.0397783756,18998.4528495404,2284329.21330806,1551565.64345977,570308.572478322,275.581194643744,209.239311604428,74.7390430696638,8986.44646544744,6103.78815424201,2243.56779465266
"50",2014,44338.3348864204,33865.8625851466,12077.3337702295,2313405.42847208,1576778.31185764,579045.404817468,174.424978020961,133.226751798572,47.5116777123103,9100.83096373564,6202.97363656595,2277.93809278478
"51",2015,31515.2755752012,24162.6933476383,8608.21541620397,2299951.28542549,1571827.11713608,576808.517840712,123.979650196846,95.0549285823506,33.8643250500357,9047.90298141054,6183.49586337716,2269.1382819043
"52",2016,26721.3006224117,20492.8907506951,7300.1229839766,2326672.5860479,1592320.00788678,584108.640824688,105.120372375173,80.6180933030642,28.7183493537196,9153.02335378571,6264.11395668023,2297.85663125802
"53",2017,33413.990514723,25876.2044206282,9194.07833441045,2360086.57656262,1618196.2123074,593302.719159099,131.44910777667,101.79580263661,36.169082928139,9284.47246156238,6365.90975931684,2334.02571418616
"54",2018,49602.6051295316,38517.5503946085,13675.8582883446,2382224.85070097,1641074.99240319,600950.245970836,195.134375967529,151.526278517476,53.8001999279606,9371.56341772697,6455.91383199067,2364.1107342815
