"","year1","IBT_ag","IST","IBR","BT_ag","ST","BR","IBT_ag_m2","IST_m2","IBR_m2","BT_m2","ST_m2","BR_m2"
"29",1987,8183.99901553852,5415.11788215307,2112.59582786682,615151.27486293,410100.715335737,167637.2695491,32.1016686874759,21.2407552623667,8.28663972319186,2412.92580568924,1608.6166759318,657.555808171636
"30",1988,12517.1939210874,8282.60209866242,3232.18974104252,627668.468784017,418383.3174344,170869.459290143,49.0985899911175,32.4884384683614,12.678237620142,2462.02439568035,1641.10511440016,670.234045791778
"31",1989,20410.9272731014,13508.0314677572,5276.64206456481,648079.396057119,431891.348902157,176146.101354707,80.0616940057332,52.9851421016339,20.6975850091683,2542.08608968609,1694.0902565018,690.931630800947
"32",1990,40387.2724265143,26709.4410126802,10388.417786822,688466.668483633,458600.789914837,186534.51914153,158.418743228732,104.767562238071,40.7484831494324,2700.50483291482,1798.85781873987,731.680113950379
"33",1991,23890.5783163979,15790.2119612461,6119.3353884611,712357.246800031,474391.001876083,192653.854529991,93.710596544437,61.9369762780438,24.0030426268324,2794.21542945926,1860.79479501791,755.683156577212
"34",1992,17469.4818242777,11546.3180737891,4474.94065316447,729826.728624308,485937.319949872,197128.795183155,68.52389847556,45.2903374818654,17.5529178304221,2862.73932793482,1906.08513249978,773.236074407634
"35",1993,18540.4991830081,12251.6667549513,4742.31663681932,748367.227807316,498188.986704823,201871.111819974,72.7249552380573,48.0570618703733,18.6016979226459,2935.46428317287,1954.14219437015,791.837772330279
"36",1994,5457.62048802225,3605.84398061463,1394.36434893873,753824.848295339,501794.830685438,203265.476168913,21.4074713835902,14.1438932952759,5.46938266662461,2956.87175455646,1968.28608766543,797.307154996904
"37",1995,5881.12670210806,3887.29787718772,1507.00711412847,759705.974997447,505682.128562626,204772.483283042,23.0686710178835,15.247893884894,5.91122298470097,2979.94042557435,1983.53398155032,803.218377981605
"38",1996,18929.7015204257,12507.6440218297,4838.39366147422,778635.676517872,518189.772584455,209610.876944516,74.2515981988458,49.0611305899878,18.978559260006,3054.19202377319,2032.59511214031,822.196937241611
"39",1997,28867.2410082336,19057.5240266718,7333.99260176071,807502.917526106,537247.296611127,216944.869546277,113.231514936449,74.7529809261069,28.7675255350248,3167.42353870964,2107.34809306641,850.964462776636
"40",1998,20048.7125586713,13235.6984510641,5093.6494526164,827551.630084777,550482.995062191,222038.518998893,78.6409097736865,51.9169180881725,19.9797979969912,3246.06444848333,2159.26501115459,870.944260773627
"41",1999,4309.92489110259,2846.10306930288,1097.15533090373,831861.55497588,553329.098131494,223135.674329797,16.9056448637631,11.1638158322967,4.30358274292289,3262.97009334709,2170.42882698688,875.24784351655
"42",2000,14147.9688352954,9343.49634337113,3603.68505136613,846009.523811175,562672.594474865,226739.359381163,55.4952911515598,36.6497873995414,14.1354249130922,3318.46538449865,2207.07861438642,889.383268429642
"43",2001,15208.9258024267,10043.3823641677,3871.8338145779,861218.449613602,572715.976839033,230611.193195741,59.6568861109251,39.3950845477877,15.1872362267589,3378.12227060958,2246.47369893421,904.570504656401
"44",2002,13919.1642321647,9188.69223505888,3535.23201179132,875137.613845767,581904.669074092,234146.425207532,54.5978069815439,36.0425695605528,13.866918429537,3432.72007759112,2282.51626849476,918.437423085938
"45",2003,16875.6032707653,11136.7065624673,4276.12713654753,892013.217116532,593041.375636559,238422.55234408,66.1944147440426,43.6836397046463,16.7730734500756,3498.91449233516,2326.19990819941,935.210496536014
