"","year1","IBT_ag","IST","IBR","BT_ag","ST","BR","IBT_ag_m2","IST_m2","IBR_m2","BT_m2","ST_m2","BR_m2"
"53",2012,8218.94133699423,6745.72221246258,2337.99501097704,1262688.41334433,1008176.55079992,377385.550788173,17.7922618913871,14.6030554702285,5.06126249482063,2733.45215840881,2182.4880467084,816.959542395775
"54",2013,39102.5405755942,32144.1294123264,11093.4035881484,1301790.95391992,1040320.68021224,388478.954376322,84.6486930631865,69.5852111999507,24.0148619894362,2818.10085147199,2252.07325790835,840.974404385211
"55",2014,14514.0708434797,11946.2790916421,4108.5934697078,1279108.08179737,1023191.48484129,381061.306031375,31.4198798809991,25.8611562622286,8.89423199667439,2768.99725227282,2214.99218900511,824.916771587972
"56",2015,27088.3612521296,22311.6366727841,7658.86520468622,1306196.4430495,1045503.12151408,388720.171236061,58.6405472243766,48.2999533189062,16.579816052373,2827.6377994972,2263.29214232402,841.496587640345
"57",2016,8162.22672717106,6707.66697715513,2316.98488018225,1314358.66977667,1052210.78849123,391037.156116244,17.6694868100637,14.5206739705723,5.01578002522439,2845.30728630726,2277.81281629459,846.51236766557
"58",2017,11252.1677271404,9276.75326642368,3176.29165509823,1284806.63841659,1029554.3195521,381597.542399752,24.3585526211228,20.0821999878579,6.87599663433085,2781.33341670262,2228.76637437821,826.077609402802
"59",2018,23236.8837659548,19151.4806957151,6562.90645683332,1280053.35250152,1026605.84774042,379637.478642901,50.3029167081008,41.4588869995053,14.2072981982564,2771.0435625258,2222.38355930484,821.834487782169
"60",2019,12026.4627533466,9929.29597005557,3386.4829824969,1263074.98459038,1014035.15188333,373918.23002723,26.0347368549061,21.4948163093875,7.33101620327974,2734.28900302996,2195.17067340194,809.453529576038
"61",2020,26043.4899272825,21514.2340246141,7325.89623546143,1247689.09674331,1003057.68327564,368479.269263693,56.3786227876122,46.573745992755,15.859008972818,2700.98182455256,2171.40678601496,797.679335022994
"62",2021,21250.444165705,17558.376563499,5975.7047744854,1243407.08062231,1000508.4659032,366645.810617401,46.0026969900231,38.0101550061211,12.9361313061932,2691.71216935925,2165.88827198148,793.710286569634
