system:index,EVI,NDVI,date,label,.geo
1_1_LT05_199034_19870101_12,,,19870101,PIHAL_RAGUA_H,"{""type"":""Point"",""coordinates"":[-3.0523200000000004,37.16982]}"
1_1_LT05_199034_19870117_0,0.19554042325922955,0.2564900688612029,19870117,PIHAL_NACIMIENTO_M,"{""type"":""Point"",""coordinates"":[-2.68648579006,37.0887117751]}"
1_1_LT05_199034_19870117_1,,,19870117,PINIG_LANTEIRA_M,"{""type"":""Point"",""coordinates"":[-3.1490168057199996,37.14335688760001]}"
1_1_LT05_199034_19870117_2,,,19870117,PINIG_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.14652,37.14837]}"
1_1_LT05_199034_19870117_3,,,19870117,PINIG_LANTEIRA_H,"{""type"":""Point"",""coordinates"":[-3.1469999999999994,37.132]}"
1_1_LT05_199034_19870117_4,,,19870117,PIPIN_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.13756,37.15454]}"
1_1_LT05_199034_19870117_5,,,19870117,PIPIN_JEREZ_L,"{""type"":""Point"",""coordinates"":[-3.17767,37.18252999999999]}"
1_1_LT05_199034_19870117_6,,,19870117,PIPIN_JEREZ_M,"{""type"":""Point"",""coordinates"":[-3.1968052292599998,37.1608918758]}"
1_1_LT05_199034_19870117_7,,,19870117,PIPIN_JEREZ_H,"{""type"":""Point"",""coordinates"":[-3.1980000000000004,37.135000000000005]}"
1_1_LT05_199034_19870117_8,,,19870117,PISYL_PORTUGOS_L,"{""type"":""Point"",""coordinates"":[-3.3009300056300006,36.9560664917]}"
1_1_LT05_199034_19870117_9,,,19870117,PISYL_PORTUGOS_M,"{""type"":""Point"",""coordinates"":[-3.3036077849499996,36.9600170228]}"
1_1_LT05_199034_19870117_10,,,19870117,PISYL_PORTUGOS_H,"{""type"":""Point"",""coordinates"":[-3.3132139944999994,36.96597766679999]}"
1_1_LT05_199034_19870117_11,0.19334933150497086,0.29858504187121,19870117,PIHAL_NACIMIENTO_L,"{""type"":""Point"",""coordinates"":[-2.6985399999999995,37.1101]}"
1_1_LT05_199034_19870117_12,,,19870117,PIHAL_RAGUA_H,"{""type"":""Point"",""coordinates"":[-3.0523200000000004,37.16982]}"
1_1_LT05_199034_19870322_0,0.18338797296817483,0.3714248357467393,19870322,PIHAL_NACIMIENTO_M,"{""type"":""Point"",""coordinates"":[-2.68648579006,37.0887117751]}"
1_1_LT05_199034_19870322_1,,,19870322,PINIG_LANTEIRA_M,"{""type"":""Point"",""coordinates"":[-3.1490168057199996,37.14335688760001]}"
1_1_LT05_199034_19870322_2,,,19870322,PINIG_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.14652,37.14837]}"
1_1_LT05_199034_19870322_3,,,19870322,PINIG_LANTEIRA_H,"{""type"":""Point"",""coordinates"":[-3.1469999999999994,37.132]}"
1_1_LT05_199034_19870322_4,,,19870322,PIPIN_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.13756,37.15454]}"
1_1_LT05_199034_19870322_5,,,19870322,PIPIN_JEREZ_L,"{""type"":""Point"",""coordinates"":[-3.17767,37.18252999999999]}"
1_1_LT05_199034_19870322_6,,,19870322,PIPIN_JEREZ_M,"{""type"":""Point"",""coordinates"":[-3.1968052292599998,37.1608918758]}"
1_1_LT05_199034_19870322_7,,,19870322,PIPIN_JEREZ_H,"{""type"":""Point"",""coordinates"":[-3.1980000000000004,37.135000000000005]}"
1_1_LT05_199034_19870322_8,,,19870322,PISYL_PORTUGOS_L,"{""type"":""Point"",""coordinates"":[-3.3009300056300006,36.9560664917]}"
1_1_LT05_199034_19870322_9,,,19870322,PISYL_PORTUGOS_M,"{""type"":""Point"",""coordinates"":[-3.3036077849499996,36.9600170228]}"
1_1_LT05_199034_19870322_10,,,19870322,PISYL_PORTUGOS_H,"{""type"":""Point"",""coordinates"":[-3.3132139944999994,36.96597766679999]}"
1_1_LT05_199034_19870322_11,0.17759844012349013,0.3143952930921769,19870322,PIHAL_NACIMIENTO_L,"{""type"":""Point"",""coordinates"":[-2.6985399999999995,37.1101]}"
1_1_LT05_199034_19870322_12,,,19870322,PIHAL_RAGUA_H,"{""type"":""Point"",""coordinates"":[-3.0523200000000004,37.16982]}"
1_1_LT05_199034_19870509_0,0.19725375164732387,0.32703274171845964,19870509,PIHAL_NACIMIENTO_M,"{""type"":""Point"",""coordinates"":[-2.68648579006,37.0887117751]}"
1_1_LT05_199034_19870509_1,,,19870509,PINIG_LANTEIRA_M,"{""type"":""Point"",""coordinates"":[-3.1490168057199996,37.14335688760001]}"
1_1_LT05_199034_19870509_2,,,19870509,PINIG_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.14652,37.14837]}"
1_1_LT05_199034_19870509_3,,,19870509,PINIG_LANTEIRA_H,"{""type"":""Point"",""coordinates"":[-3.1469999999999994,37.132]}"
1_1_LT05_199034_19870509_4,,,19870509,PIPIN_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.13756,37.15454]}"
1_1_LT05_199034_19870509_5,,,19870509,PIPIN_JEREZ_L,"{""type"":""Point"",""coordinates"":[-3.17767,37.18252999999999]}"
1_1_LT05_199034_19870509_6,,,19870509,PIPIN_JEREZ_M,"{""type"":""Point"",""coordinates"":[-3.1968052292599998,37.1608918758]}"
1_1_LT05_199034_19870509_7,,,19870509,PIPIN_JEREZ_H,"{""type"":""Point"",""coordinates"":[-3.1980000000000004,37.135000000000005]}"
1_1_LT05_199034_19870509_8,,,19870509,PISYL_PORTUGOS_L,"{""type"":""Point"",""coordinates"":[-3.3009300056300006,36.9560664917]}"
1_1_LT05_199034_19870509_9,,,19870509,PISYL_PORTUGOS_M,"{""type"":""Point"",""coordinates"":[-3.3036077849499996,36.9600170228]}"
1_1_LT05_199034_19870509_10,,,19870509,PISYL_PORTUGOS_H,"{""type"":""Point"",""coordinates"":[-3.3132139944999994,36.96597766679999]}"
1_1_LT05_199034_19870509_11,0.1534709076158183,0.24786768579958926,19870509,PIHAL_NACIMIENTO_L,"{""type"":""Point"",""coordinates"":[-2.6985399999999995,37.1101]}"
1_1_LT05_199034_19870509_12,,,19870509,PIHAL_RAGUA_H,"{""type"":""Point"",""coordinates"":[-3.0523200000000004,37.16982]}"
