year,RW,tree,core,sp_elev,sampleid
1973,2.48,39,A,sylvestris_med,PM39A
1973,2.87,39,B,sylvestris_med,PM39B
1973,4.37,40,02,sylvestris_med,PM4002
1973,0.73,41,01,sylvestris_med,PM4101
1973,0.9,41,02,sylvestris_med,PM4102
1973,7.19,42,A,sylvestris_med,PM42A
1973,5.36,42,B,sylvestris_med,PM42B
1973,5.12,43,02,sylvestris_med,PM4302
1974,7.8,1,01,sylvestris_med,PM0101
1974,6.08,1,02,sylvestris_med,PM0102
1974,2.3,2,A,sylvestris_med,PM02A
1974,3.59,2,B,sylvestris_med,PM02B
1974,2.16,2,C,sylvestris_med,PM02C
1974,2.27,3,A,sylvestris_med,PM03A
1974,2.17,3,B,sylvestris_med,PM03B
1974,2.32,5,A,sylvestris_med,PM05A
1974,2.78,5,B,sylvestris_med,PM05B
1974,2.85,6,01,sylvestris_med,PM0601
1974,4.45,7,A,sylvestris_med,PM07A
1974,3.7,7,B,sylvestris_med,PM07B
1974,5.54,8,01,sylvestris_med,PM0801
1974,5.02,8,02,sylvestris_med,PM0802
1974,2.56,9,C,sylvestris_med,PM09C
1974,2.65,9,E,sylvestris_med,PM09E
1974,3.37,10,A,sylvestris_med,PM10A
1974,3.35,10,C,sylvestris_med,PM10C
1974,4.22,11,A,sylvestris_med,PM11A
1974,4,11,C,sylvestris_med,PM11C
1974,4.07,12,A,sylvestris_med,PM12A
1974,4.96,12,C,sylvestris_med,PM12C
1974,4.1,13,A,sylvestris_med,PM13A
1974,2.98,13,B,sylvestris_med,PM13B
1974,5.94,14,01,sylvestris_med,PM1401
1974,5.97,14,02,sylvestris_med,PM1402
1974,1.96,15,A,sylvestris_med,PM15A
1974,3.05,15,B,sylvestris_med,PM15B
1974,2.97,15,C,sylvestris_med,PM15C
1974,2.74,16,01,sylvestris_med,PM1601
1974,3.65,16,02,sylvestris_med,PM1602
1974,1.35,17,A,sylvestris_med,PM17A
1974,3.09,17,B,sylvestris_med,PM17B
1974,3.73,19,A,sylvestris_med,PM19A
1974,2.96,19,B,sylvestris_med,PM19B
1974,1.49,20,A,sylvestris_med,PM20A
1974,1.64,20,B,sylvestris_med,PM20B
1974,4.66,21,01,sylvestris_med,PM2101
1974,4.29,21,02,sylvestris_med,PM2102
1974,6.17,22,01,sylvestris_med,PM2201
1974,2.67,23,B,sylvestris_med,PM23B
1974,3,23,C,sylvestris_med,PM23C
1974,2.74,24,01,sylvestris_med,PM2401
1974,1.38,25,A,sylvestris_med,PM25A
1974,1.36,25,B,sylvestris_med,PM25B
1974,5.58,26,A,sylvestris_med,PM26A
1974,4,26,B,sylvestris_med,PM26B
1974,2.84,27,A,sylvestris_med,PM27A
1974,3.82,27,B,sylvestris_med,PM27B
1974,3.82,28,A,sylvestris_med,PM28A
1974,4.75,28,B,sylvestris_med,PM28B
1974,2.84,29,A,sylvestris_med,PM29A
