"","year","pie","RW"
"1154",1989,35,2.92
"1155",1990,35,4.9
"1156",1991,35,1.67
"1157",1992,35,2.67
"1158",1993,35,1.48
"1159",1994,35,1.3
"1160",1995,35,0.8
"1161",1996,35,3.36
"1162",1997,35,2.93
"1163",1998,35,0.72
"1164",1999,35,0.65
"1165",2000,35,0.18
"1166",2001,35,0.25
"1167",2002,35,0.6
"1168",2003,35,0.52
"1169",2004,35,2.07
"1170",2005,35,0.8
"1171",2006,35,0.46
"1172",2007,35,0.42
"1173",2008,35,0.23
"1174",2009,35,0.4
"1175",2010,35,2.14
"1176",2011,35,1.14
"1177",2012,35,0.01
"1178",2013,35,0.43
"1179",2014,35,0.25
"1180",2015,35,0.45
"1181",2016,35,0.01
"1182",2017,35,0.29
"1183",2018,35,0.17
"1184",2019,35,0.08
"1185",2020,35,0.19
"1186",2021,35,0.01
"1187",2022,35,0.19
"1188",1987,36,1.34
"1189",1988,36,1.45
"1190",1989,36,5.19
"1191",1990,36,2.49
"1192",1991,36,1.35
"1193",1992,36,1.6
"1194",1993,36,1.52
"1195",1994,36,1.26
"1196",1995,36,0.53
"1197",1996,36,2.97
"1198",1997,36,3.42
"1199",1998,36,0.77
"1200",1999,36,0.54
"1201",2000,36,0.42
"1202",2001,36,0.67
"1203",2002,36,1.29
"1204",2003,36,0.64
"1205",2004,36,2.45
"1206",2005,36,0.52
"1207",2006,36,0.27
"1208",2007,36,0.34
"1209",2008,36,0.24
"1210",2009,36,0.4
"1211",2010,36,1.75
"1212",2011,36,1.02
"1213",2012,36,0.15
"1214",2013,36,0.28
"1215",2014,36,0.01
"1216",2015,36,0.19
"1217",2016,36,0.01
"1218",2017,36,0.09
"1219",2018,36,0.08
"1220",2019,36,0.03
"1221",2020,36,0.29
"1222",1984,37,0.61
"1223",1985,37,0.43
"1224",1986,37,0.94
"1225",1987,37,1.17
"1226",1988,37,1.48
"1227",1989,37,3.47
"1228",1990,37,4.77
"1229",1991,37,1.8
"1230",1992,37,2.39
"1231",1993,37,0.98
"1232",1994,37,1.03
"1233",1995,37,0.35
"1234",1996,37,2.35
"1235",1997,37,3.07
"1236",1998,37,0.78
"1237",1999,37,0.56
"1238",2000,37,0.49
"1239",2001,37,0.73
"1240",2002,37,1.11
"1241",2003,37,0.55
"1242",2004,37,1.94
"1243",2005,37,0.56
"1244",2006,37,0.21
"1245",2007,37,0.26
"1246",2008,37,0.07
"1247",2009,37,0.21
"1248",2010,37,1.86
"1249",2011,37,1.08
"1250",2012,37,0.05
"1251",2013,37,0.19
"1252",2014,37,0.02
"1253",1989,38,2.4
"1254",1990,38,4.11
"1255",1991,38,2.16
"1256",1992,38,2.73
"1257",1993,38,1.08
"1258",1994,38,0.76
"1259",1995,38,0.49
"1260",1996,38,2.55
"1261",1997,38,3.13
"1262",1998,38,0.9
"1263",1999,38,0.37
"1264",2000,38,0.64
"1265",2001,38,0.75
"1266",2002,38,1.12
"1267",2003,38,0.66
"1268",2004,38,2.34
"1269",2005,38,0.55
"1270",2006,38,0.29
"1271",2007,38,0.4
"1272",2008,38,0.54
"1273",2009,38,0.59
"1274",2010,38,2.06
"1275",2011,38,0.97
"1276",2012,38,0.15
"1277",2013,38,0.4
"1278",2014,38,0.2
"1279",2015,38,0.63
"1280",2016,38,0.09
"1281",2017,38,0.47
"1282",2018,38,0.15
"1283",2019,38,0.12
"1284",2020,38,0.38
"1285",2021,38,0.18
"1286",2022,38,0.52
"1287",1985,39,0.85
"1288",1986,39,0.83
"1289",1987,39,1.67
"1290",1988,39,1.09
"1291",1989,39,1.47
"1292",1990,39,1.97
"1293",1991,39,1.59
"1294",1992,39,2.01
"1295",1993,39,1.57
"1296",1994,39,1.66
"1297",1995,39,0.88
"1298",1996,39,3.75
"1299",1997,39,3.29
"1300",1998,39,0.89
"1301",1999,39,0.66
"1302",2000,39,0.86
"1303",2001,39,1.12
"1304",2002,39,1.17
"1305",2003,39,0.62
"1306",2004,39,2.22
"1307",2005,39,0.61
"1308",2006,39,0.36
"1309",2007,39,0.5
"1310",2008,39,0.64
"1311",2009,39,0.72
"1312",2010,39,1.41
"1313",2011,39,0.88
"1314",2012,39,0.01
"1315",2013,39,0.36
"1316",2014,39,0.01
"1317",2015,39,0.25
"1318",2016,39,0.01
"1319",2017,39,0.15
"1320",2018,39,0.12
"1321",2019,39,0.05
"1322",2020,39,0.44
"1323",2021,39,0.11
"1324",2022,39,0.54
"1325",1986,40,2.5
"1326",1987,40,3.12
"1327",1988,40,2.55
"1328",1989,40,3.84
"1329",1990,40,5.4
"1330",1991,40,1.91
"1331",1992,40,2.65
"1332",1993,40,1.7
"1333",1994,40,1.27
"1334",1995,40,1.13
"1335",1996,40,3.19
"1336",1997,40,3.55
"1337",1998,40,1.59
"1338",1999,40,1.29
"1339",2000,40,1.2
"1340",2001,40,1.4
"1341",2002,40,1.63
"1342",2003,40,1.03
"1343",2004,40,2.47
"1344",2005,40,0.67
"1345",2006,40,0.37
"1346",2007,40,0.55
"1347",2008,40,0.55
"1348",2009,40,0.76
"1349",2010,40,2.96
"1350",2011,40,1.72
"1351",2012,40,0.36
"1352",2013,40,0.88
"1353",2014,40,0.07
"1354",2015,40,1.07
"1355",2016,40,0.91
"1356",2017,40,1.13
"1357",2018,40,0.97
"1358",2019,40,0.81
"1359",2020,40,0.57
"1360",2021,40,0.25
"1361",2022,40,1.27
"1362",1983,41,0.93
"1363",1984,41,1.6
"1364",1985,41,1.17
"1365",1986,41,1.27
"1366",1987,41,1.45
"1367",1988,41,1.92
"1368",1989,41,3.41
"1369",1990,41,5.71
"1370",1991,41,2.48
"1371",1992,41,4.04
"1372",1993,41,2.76
"1373",1994,41,2.3
"1374",1995,41,0.61
"1375",1996,41,2.93
"1376",1997,41,4.7
"1377",1998,41,2
"1378",1999,41,1.3
"1379",2000,41,1.06
"1380",2001,41,0.68
"1381",2002,41,1.41
"1382",2003,41,1.21
"1383",2004,41,2.71
"1384",2005,41,0.8
"1385",2006,41,0.57
"1386",2007,41,0.83
"1387",2008,41,0.47
"1388",2009,41,0.7
"1389",2010,41,3.24
"1390",2011,41,2.51
"1391",2012,41,0.01
"1392",2013,41,0.57
"1393",2014,41,0.01
"1394",1983,42,1.2
"1395",1984,42,1.55
"1396",1985,42,3.27
"1397",1986,42,1.3
"1398",1987,42,1.31
"1399",1988,42,1.78
"1400",1989,42,1.48
"1401",1990,42,3.28
"1402",1991,42,1.51
"1403",1992,42,2.41
"1404",1993,42,1.06
"1405",1994,42,0.93
"1406",1995,42,0.39
"1407",1996,42,2.55
"1408",1997,42,3.15
"1409",1998,42,0.97
"1410",1999,42,0.83
"1411",2000,42,1
"1412",2001,42,0.97
"1413",2002,42,1.11
"1414",2003,42,0.93
"1415",2004,42,1.9
"1416",2005,42,0.58
"1417",2006,42,0.5
"1418",2007,42,0.66
"1419",2008,42,0.63
"1420",2009,42,0.53
"1421",2010,42,2.42
"1422",2011,42,1.37
"1423",2012,42,0.09
"1424",2013,42,0.63
"1425",2014,42,0.2
"1426",2015,42,0.33
"1427",2016,42,0.67
"1428",2017,42,0.75
"1429",2018,42,0.34
"1430",2019,42,0.32
"1431",2020,42,0.47
"1432",2021,42,0.42
"1433",2022,42,0.76
