"","year","pie","RW","pie"
"517",1973,11,3.725,11
"518",1974,11,3.04,11
"519",1975,11,2.915,11
"520",1976,11,2.465,11
"521",1977,11,2.445,11
"522",1978,11,3.22,11
"523",1979,11,2.47,11
"524",1980,11,2.345,11
"525",1981,11,1.355,11
"526",1982,11,0.965,11
"527",1983,11,1.1,11
"528",1984,11,1.74,11
"529",1985,11,1.745,11
"530",1986,11,1.41,11
"531",1987,11,1.175,11
"532",1988,11,0.82,11
"533",1989,11,0.755,11
"534",1990,11,1.4,11
"535",1991,11,1.065,11
"536",1992,11,1.18,11
"537",1993,11,1,11
"538",1994,11,0.725,11
"539",1995,11,0.675,11
"540",1996,11,1.27,11
"541",1997,11,1.585,11
"542",1998,11,1.175,11
"543",1999,11,0.625,11
"544",2000,11,1.325,11
"545",2001,11,0.795,11
"546",2002,11,0.94,11
"547",2003,11,1.23,11
"548",2004,11,0.985,11
"549",2005,11,0.495,11
"550",2006,11,0.865,11
"551",2007,11,0.965,11
"552",2008,11,0.865,11
"553",2009,11,1.8,11
"554",2010,11,2.225,11
"555",2011,11,1.685,11
"556",2012,11,0.46,11
"557",2013,11,0.865,11
"558",2014,11,0.55,11
"559",2015,11,0.615,11
"560",2016,11,0.44,11
"561",2017,11,0.86,11
"562",2018,11,0.885,11
"563",2019,11,0.615,11
"564",2020,11,1.185,11
"565",2021,11,0.885,11
"566",1970,12,4.79,12
"567",1971,12,4.66,12
"568",1972,12,3.92,12
"569",1973,12,3.19,12
"570",1974,12,4.11,12
"571",1975,12,2.46,12
"572",1976,12,2.14,12
"573",1977,12,1.57,12
"574",1978,12,1.94,12
"575",1979,12,2.07,12
"576",1980,12,1.79,12
"577",1981,12,0.73,12
"578",1982,12,1.225,12
"579",1983,12,0.94,12
"580",1984,12,1.87,12
"581",1985,12,1.655,12
"582",1986,12,0.88,12
"583",1987,12,0.54,12
"584",1988,12,0.585,12
"585",1989,12,0.855,12
"586",1990,12,1.77,12
"587",1991,12,0.99,12
"588",1992,12,0.835,12
"589",1993,12,0.785,12
"590",1994,12,0.235,12
"591",1995,12,0.23,12
"592",1996,12,1.11,12
"593",1997,12,1.53,12
"594",1998,12,0.955,12
"595",1999,12,0.305,12
"596",2000,12,0.625,12
"597",2001,12,0.465,12
"598",2002,12,0.57,12
"599",2003,12,0.965,12
"600",2004,12,1.065,12
"601",2005,12,0.245,12
"602",2006,12,0.485,12
"603",2007,12,0.47,12
"604",2008,12,0.225,12
"605",2009,12,0.635,12
"606",2010,12,1.275,12
"607",2011,12,1.54,12
"608",2012,12,0.38,12
"609",2013,12,0.59,12
"610",2014,12,0.34,12
"611",2015,12,0.5,12
"612",2016,12,0.23,12
"613",2017,12,0.41,12
"614",2018,12,0.54,12
"615",2019,12,0.35,12
"616",2020,12,0.77,12
"617",2021,12,0.59,12
"618",1968,13,3.655,13
"619",1969,13,3.905,13
"620",1970,13,3.84,13
"621",1971,13,3.12,13
"622",1972,13,2.73,13
"623",1973,13,2.575,13
"624",1974,13,2.125,13
"625",1975,13,2.22,13
"626",1976,13,1.915,13
"627",1977,13,2.225,13
"628",1978,13,2.215,13
"629",1979,13,1.59,13
"630",1980,13,2.255,13
"631",1981,13,1.27,13
"632",1982,13,1.105,13
"633",1983,13,1.2,13
"634",1984,13,1.725,13
"635",1985,13,1.635,13
"636",1986,13,1.3,13
"637",1987,13,0.945,13
"638",1988,13,0.865,13
"639",1989,13,1.185,13
"640",1990,13,1.905,13
"641",1991,13,1.19,13
"642",1992,13,1.105,13
"643",1993,13,0.935,13
"644",1994,13,0.47,13
"645",1995,13,0.68,13
"646",1996,13,1.09,13
"647",1997,13,1.64,13
"648",1998,13,1.285,13
"649",1999,13,0.375,13
"650",2000,13,1.01,13
"651",2001,13,0.7,13
"652",2002,13,0.815,13
"653",2003,13,0.605,13
"654",2004,13,0.92,13
"655",2005,13,0.27,13
"656",2006,13,0.735,13
"657",2007,13,0.79,13
"658",2008,13,0.38,13
"659",2009,13,1.075,13
"660",2010,13,1.105,13
"661",2011,13,1.115,13
"662",2012,13,0.41,13
"663",2013,13,0.89,13
"664",2014,13,0.34,13
"665",2015,13,0.39,13
"666",2016,13,0.18,13
"667",2017,13,0.435,13
"668",2018,13,0.5,13
"669",2019,13,0.38,13
"670",2020,13,0.91,13
"671",2021,13,0.675,13
"672",1968,14,4.16,14
"673",1969,14,4.16,14
"674",1970,14,5.47,14
"675",1971,14,4.72,14
"676",1972,14,4.345,14
"677",1973,14,4.275,14
"678",1974,14,3.46,14
"679",1975,14,2.325,14
"680",1976,14,2.59,14
"681",1977,14,2.34,14
"682",1978,14,2.55,14
"683",1979,14,2.26,14
"684",1980,14,2.03,14
"685",1981,14,1.26,14
"686",1982,14,1.09,14
"687",1983,14,0.86,14
"688",1984,14,1.285,14
"689",1985,14,0.935,14
"690",1986,14,0.93,14
"691",1987,14,0.48,14
"692",1988,14,0.47,14
"693",1989,14,0.85,14
"694",1990,14,1.57,14
"695",1991,14,0.915,14
"696",1992,14,0.915,14
"697",1993,14,0.86,14
"698",1994,14,0.37,14
"699",1995,14,0.375,14
"700",1996,14,0.995,14
"701",1997,14,0.84,14
"702",1998,14,1.05,14
"703",1999,14,0.285,14
"704",2000,14,0.705,14
"705",2001,14,0.5,14
"706",2002,14,0.625,14
