Note: [none]
Total # of Iterations:	50000	
Sample size:	383	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-2115.235	5	4240.629	4240.469	1.047042	0.4078613	
Model:	mtabi5
PDF:	User-defined function
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MA	700	665	700	274.8591	0	700	57.32012	
Asym	0.0262769	0.01786829	0.0353105	0.01518651	0	0.2	0.04685548	
R0	9.999946	9.429949	10	3.924227	0.5	10	8.482143	
lrc	-1.006203	-1.032708	-0.9789299	0.1342331	-2	0	0.04959682	
scale	49.08703	43.31659	55.68746	3.813362	1	100	18.16796	

Non-varying parameters:
Label	Value
mean	predicted	
x	abi	
tmed	tmed	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MA	Asym	R0	lrc	scale
MA	75547.55	-0.695359	-361.6407	21.11582	-108.8394	
Asym	-0.695359	0.0002306302	0.04306904	0.001149578	0.002178674	
R0	-361.6407	0.04306904	15.39956	0.2993662	-1.578921	
lrc	21.11582	0.001149578	0.2993662	0.01801853	-0.09510028	
scale	-108.8394	0.002178674	-1.578921	-0.09510028	14.54173	

Source data
abi	tmed	predicted	
17.2	5	-2124.064	
18	5	-2122.797	
18.2	5	-2122.698	
19.6	5	-2122.153	
21	5	-2119.525	
25	5	-2117.997	
25.2	5	-2117.467	
26.2	5	-2117.395	
28.2	5	-2116.936	
43.4	5	-2116.184	
43.6	5	-2116.184	
122	5	-2116.117	
122.2	5	-2116.114	
123.6	5	-2116.057	
124	5	-2115.429	
125.2	5	-2115.427	
702	5	-2115.354	
1000	5	-2115.354	
2000	4.875	-2115.354	
3000	4.875	-2115.354	
3658.4	4.875	-2115.316	
4000	4.753125	-2115.316	
4830	4.753125	-2115.307	
5000	4.753125	-2115.307	
6000	4.634297	-2115.307	
6994.2	4.634297	-2115.301	
7000	4.634297	-2115.301	
7220.4	4.634297	-2115.286	
7221.2	4.634297	-2115.286	
8000	4.518439	-2115.286	
9000	4.518439	-2115.286	
10000	4.405478	-2115.286	
11000	4.405478	-2115.286	
12000	4.295342	-2115.286	
13000	4.295342	-2115.286	
13131.4	4.295342	-2115.268	
14000	4.187958	-2115.268	
15000	4.187958	-2115.268	
16000	4.083259	-2115.268	
17000	4.083259	-2115.268	
18000	3.981178	-2115.268	
19000	3.981178	-2115.268	
20000	3.881648	-2115.268	
20182	3.881648	-2115.266	
20182.2	3.881648	-2115.266	
21000	3.881648	-2115.266	
22000	3.784607	-2115.266	
23000	3.784607	-2115.266	
24000	3.689992	-2115.266	
25000	3.689992	-2115.266	
26000	3.597742	-2115.266	
27000	3.597742	-2115.266	
28000	3.507798	-2115.266	
29000	3.507798	-2115.266	
29292.2	3.507798	-2115.257	
29292.6	3.507798	-2115.257	
30000	3.420103	-2115.257	
31000	3.420103	-2115.257	
32000	3.334601	-2115.257	
33000	3.334601	-2115.257	
34000	3.251236	-2115.257	
35000	3.251236	-2115.257	
36000	3.169955	-2115.257	
37000	3.169955	-2115.257	
38000	3.090706	-2115.257	
39000	3.090706	-2115.257	
40000	3.013438	-2115.257	
41000	3.013438	-2115.257	
42000	2.938102	-2115.257	
43000	2.938102	-2115.257	
44000	2.86465	-2115.257	
44548.4	2.86465	-2115.235	
44548.6	2.86465	-2115.235	
44549.2	2.86465	-2115.235	
45000	2.86465	-2115.235	
46000	2.793034	-2115.235	
47000	2.793034	-2115.235	
48000	2.723208	-2115.235	
49000	2.723208	-2115.235	
50000	2.655128	-2115.235	
