Note: [none]
Total # of Iterations:	1e+06	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.6294	6	479.6002	479.2587	0.999973	0.5058091	
Model:	mcombrat7
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
0.3464311	10.70226	358	0.1999117	
0.2816574	10.55819	361.3	0.2143957	
0.09565752	10.65748	148.7	0.09668812	
0.1990407	10.74932	358.1	0.1958912	
0.1211196	10.27977	322	0.230027	
0.1466144	10.04482	306.6	0.2510893	
0.2626483	11.26267	479.1	0.1823998	
0.3644781	10.39393	622.5	0.274452	
0.283016	10.56176	331.7	0.2042859	
0.1164069	10.91	303.2	0.166372	
0.2163242	9.910485	331.8	0.2817581	
0.1126222	10.81058	289.8	0.1681278	
0.2184333	11.25379	243.3	0.1254863	
0.1012387	10.75417	347.1	0.1922655	
0.1816787	11.60485	204.2	0.0978507	
0.1813105	9.91548	458.2	0.3256898	
0.1076421	11.08597	255.8	0.1380771	
0.2435312	11.4141	319.6	0.1451929	
0.1752625	11.99493	557	0.1600524	
0.121445	11.90282	632.8	0.165464	
0.1414086	11.21308	762	0.1966978	
0.1390418	10.82874	567.7	0.22237	
0.08112583	10.92854	306.9	0.1664514	
0.08830946	11.12806	503.6	0.1933365	
0.07755052	10.84717	428.3	0.2038984	
0.1060988	10.35224	722.2	0.2822275	
0.1035995	11.56453	889.2	0.1753816	
0.1193004	10.65089	1430.6	0.2051059	
0.147881	10.90389	608.7	0.217958	
0.09275033	11.18644	551.8	0.193616	
0.1607469	10.31331	582.8	0.2830761	
0.1034699	11.10675	481.1	0.1922724	
0.1036026	11.68766	365.4	0.1463043	
0.07726855	11.13128	584.3	0.1992299	
0.09549652	11.82421	366.2	0.1425105	
0.0982538	10.1593	1019.7	0.2966722	

Likelihood History
Iteration	Temperature	Likelihood
0	5	-233.9214	
0.1666667	5	-233.8437	
19.16667	5	-233.8242	
520	5	-233.7138	
1000	5	-233.7138	
2000	4.875	-233.7138	
3000	4.875	-233.7138	
4000	4.753125	-233.7138	
5000	4.753125	-233.7138	
6000	4.634297	-233.7138	
7000	4.634297	-233.7138	
7811.833	4.634297	-233.7055	
8000	4.518439	-233.7055	
9000	4.518439	-233.7055	
10000	4.405478	-233.7055	
11000	4.405478	-233.7055	
12000	4.295342	-233.7055	
13000	4.295342	-233.7055	
13697.5	4.295342	-233.698	
13697.83	4.295342	-233.698	
14000	4.187958	-233.698	
15000	4.187958	-233.698	
16000	4.083259	-233.698	
17000	4.083259	-233.698	
18000	3.981178	-233.698	
19000	3.981178	-233.698	
20000	3.881648	-233.698	
21000	3.881648	-233.698	
22000	3.784607	-233.698	
22991	3.784607	-233.6875	
23000	3.784607	-233.6875	
24000	3.689992	-233.6875	
25000	3.689992	-233.6875	
26000	3.597742	-233.6875	
27000	3.597742	-233.6875	
28000	3.507798	-233.6875	
29000	3.507798	-233.6875	
30000	3.420103	-233.6875	
31000	3.420103	-233.6875	
32000	3.334601	-233.6875	
33000	3.334601	-233.6875	
34000	3.251236	-233.6875	
34274.5	3.251236	-233.6825	
34468.67	3.251236	-233.6732	
35000	3.251236	-233.6732	
36000	3.169955	-233.6732	
37000	3.169955	-233.6732	
38000	3.090706	-233.6732	
39000	3.090706	-233.6732	
40000	3.013438	-233.6732	
41000	3.013438	-233.6732	
42000	2.938102	-233.6732	
43000	2.938102	-233.6732	
44000	2.86465	-233.6732	
45000	2.86465	-233.6732	
46000	2.793034	-233.6732	
47000	2.793034	-233.6732	
48000	2.723208	-233.6732	
49000	2.723208	-233.6732	
50000	2.655128	-233.6732	
51000	2.655128	-233.6732	
52000	2.588749	-233.6732	
53000	2.588749	-233.6732	
53617.17	2.588749	-233.6447	
54000	2.524031	-233.6447	
55000	2.524031	-233.6447	
56000	2.46093	-233.6447	
57000	2.46093	-233.6447	
58000	2.399407	-233.6447	
59000	2.399407	-233.6447	
60000	2.339421	-233.6447	
61000	2.339421	-233.6447	
62000	2.280936	-233.6447	
63000	2.280936	-233.6447	
64000	2.223913	-233.6447	
65000	2.223913	-233.6447	
66000	2.168315	-233.6447	
67000	2.168315	-233.6447	
68000	2.114107	-233.6447	
69000	2.114107	-233.6447	
70000	2.061254	-233.6447	
71000	2.061254	-233.6447	
72000	2.009723	-233.6447	
73000	2.009723	-233.6447	
74000	1.95948	-233.6447	
75000	1.95948	-233.6447	
76000	1.910493	-233.6447	
77000	1.910493	-233.6447	
78000	1.86273	-233.6447	
79000	1.86273	-233.6447	
80000	1.816162	-233.6447	
81000	1.816162	-233.6447	
82000	1.770758	-233.6447	
83000	1.770758	-233.6447	
84000	1.726489	-233.6447	
85000	1.726489	-233.6447	
86000	1.683327	-233.6447	
87000	1.683327	-233.6447	
88000	1.641244	-233.6447	
89000	1.641244	-233.6447	
90000	1.600213	-233.6447	
91000	1.600213	-233.6447	
92000	1.560207	-233.6447	
93000	1.560207	-233.6447	
94000	1.521202	-233.6447	
95000	1.521202	-233.6447	
96000	1.483172	-233.6447	
97000	1.483172	-233.6447	
98000	1.446093	-233.6447	
99000	1.446093	-233.6447	
1e+05	1.409941	-233.6447	
101000	1.409941	-233.6447	
