Note: [none]
Total # of Iterations:	2e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.7322	4	475.6257	475.4644	0.9974038	0.4611436	
Model:	mtrat6
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.5582118	0.1953741	0.9231953	0.6027942	0	1.2	1.2	
b	0.1977159	0	0.2	0.3167616	0	0.2	0.2	
k	-1.699626	-2.5	-0.254345	3.271189	-2.5	2	2.4	
t0	9.920275	0	11.12984	2.012828	0	20	17.6	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	
prec	prec	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	b	k	t0
MR	0.3633609	-0.1561378	1.229083	-1.0702	
b	-0.1561378	0.1003379	-0.795169	0.411755	
k	1.229083	-0.795169	10.70068	-4.241304	
t0	-1.0702	0.411755	-4.241304	4.051478	

Source data
year	sp_code	elev_code	sp_elev	rat	prec	tmed	species	predicted	
2004	pinaster	low-Dec	pinaster_low-Dec	0.1437259	338	12.10822	P. pinaster	0.1209771	
2005	pinaster	low-Dec	pinaster_low-Dec	0.04349623	141.1	12.14503	P. pinaster	0.1203481	
2006	pinaster	low-Dec	pinaster_low-Dec	0.09018941	353.4	12.34522	P. pinaster	0.1175155	
2007	pinaster	low-Dec	pinaster_low-Dec	0.07338176	322.3	11.82288	P. pinaster	0.127348	
2008	pinaster	low-Dec	pinaster_low-Dec	0.04840161	285.4	11.73981	P. pinaster	0.1298112	
2009	pinaster	low-Dec	pinaster_low-Dec	0.1039761	446.3	12.75106	P. pinaster	0.1139823	
2010	pinaster	low-Dec	pinaster_low-Dec	0.1173053	541	11.96879	P. pinaster	0.1237299	
2011	pinaster	low-Dec	pinaster_low-Dec	0.1305473	292.8	12.25463	P. pinaster	0.1186833	
2012	pinaster	low-Dec	pinaster_low-Dec	0.03379989	277.9	12.49898	P. pinaster	0.1158918	
2013	pinaster	low-Dec	pinaster_low-Dec	0.1174534	326.3	11.61853	P. pinaster	0.1340269	
2014	pinaster	low-Dec	pinaster_low-Dec	0.05003962	252.3	12.56447	P. pinaster	0.1153163	
2015	pinaster	low-Dec	pinaster_low-Dec	0.09789741	218.7	12.8414	P. pinaster	0.1134713	
2016	pinaster	low-Dec	pinaster_low-Dec	0.03536019	304.8	12.54195	P. pinaster	0.1155073	
2017	pinaster	low-Dec	pinaster_low-Dec	0.04882452	199.1	13.19164	P. pinaster	0.1120842	
2018	pinaster	low-Dec	pinaster_low-Dec	0.07868437	445.6	11.68466	P. pinaster	0.1316313	
2019	pinaster	low-Dec	pinaster_low-Dec	0.04198474	252.4	12.74521	P. pinaster	0.1140181	
2020	pinaster	low-Dec	pinaster_low-Dec	0.09480179	323.4	12.92051	P. pinaster	0.1130831	
2021	pinaster	low-Dec	pinaster_low-Dec	0.07480113	202.2	12.89171	P. pinaster	0.1132185	
2001	pinaster	medium	pinaster_medium	0.26936	360.2	12.25136	P. pinaster	0.1187287	
2002	pinaster	medium	pinaster_medium	0.189034	341.6	12.06719	P. pinaster	0.1217241	
2003	pinaster	medium	pinaster_medium	0.3093132	355.5	11.65683	P. pinaster	0.13261	
2004	pinaster	medium	pinaster_medium	0.2482097	326.3	11.55707	P. pinaster	0.1364803	
2005	pinaster	medium	pinaster_medium	0.04001177	147.8	11.61297	P. pinaster	0.1342395	
2006	pinaster	medium	pinaster_medium	0.1178683	362.9	11.78407	P. pinaster	0.128459	
2007	pinaster	medium	pinaster_medium	0.0556492	322	11.27962	P. pinaster	0.1507927	
2008	pinaster	medium	pinaster_medium	0.1127203	335.5	11.05442	P. pinaster	0.1672503	
2009	pinaster	medium	pinaster_medium	0.1548122	532	12.19787	P. pinaster	0.1195082	
2010	pinaster	medium	pinaster_medium	0.2486419	666.6	11.4048	P. pinaster	0.1436206	
2011	pinaster	medium	pinaster_medium	0.3110653	305.6	11.72189	P. pinaster	0.1303855	
2012	pinaster	medium	pinaster_medium	0.0837598	334.9	11.98467	P. pinaster	0.1233843	
2013	pinaster	medium	pinaster_medium	0.228604	425	11.00224	P. pinaster	0.1718016	
2014	pinaster	medium	pinaster_medium	0.1205257	333.6	11.95345	P. pinaster	0.124072	
2015	pinaster	medium	pinaster_medium	0.1291197	260.8	12.41273	P. pinaster	0.1167517	
2016	pinaster	medium	pinaster_medium	0.06625869	382.1	11.93446	P. pinaster	0.1245073	
2017	pinaster	medium	pinaster_medium	0.09849051	207.7	12.7014	P. pinaster	0.1142978	
2001	pinaster	high	pinaster_high	0.5828131	368.2	11.36156	P. pinaster	0.1459553	
2002	pinaster	high	pinaster_high	0.3738774	349.9	11.2134	P. pinaster	0.1551274	
2003	pinaster	high	pinaster_high	0.5811849	390.2	10.68792	P. pinaster	0.2059256	
2004	pinaster	high	pinaster_high	0.5059657	373.1	10.54402	P. pinaster	0.2255903	
2005	pinaster	high	pinaster_high	0.07626182	163	10.63039	P. pinaster	0.2134818	
2006	pinaster	high	pinaster_high	0.2310098	373.2	10.73044	P. pinaster	0.2006063	
2007	pinaster	high	pinaster_high	0.1078383	333.4	10.28368	P. pinaster	0.2672544	
2008	pinaster	high	pinaster_high	0.1626592	376.8	9.905245	P. pinaster	0.3371495	
2009	pinaster	high	pinaster_high	0.29091	612.7	11.18799	P. pinaster	0.1568974	
2010	pinaster	high	pinaster_high	0.4185128	799.9	10.32817	P. pinaster	0.2596369	
2011	pinaster	high	pinaster_high	0.478777	353.3	10.55143	P. pinaster	0.2245161	
2012	pinaster	high	pinaster_high	0.2128957	371.2	10.89882	P. pinaster	0.1817265	
2013	pinaster	high	pinaster_high	0.4040281	454	9.824873	P. pinaster	0.3524041	
2014	pinaster	high	pinaster_high	0.197504	385.2	10.75392	P. pinaster	0.1977646	
2015	pinaster	high	pinaster_high	0.2710632	295.9	11.31034	P. pinaster	0.1489135	
2016	pinaster	high	pinaster_high	0.1525367	444.8	10.71864	P. pinaster	0.2020594	
2017	pinaster	high	pinaster_high	0.1960562	231.9	11.61003	P. pinaster	0.1343529	
2018	pinaster	high	pinaster_high	0.3262517	506.9	10.01994	P. pinaster	0.3153696	
2019	pinaster	high	pinaster_high	0.138568	279.3	11.08017	P. pinaster	0.165112	
2020	pinaster	high	pinaster_high	0.2202332	318.8	11.42356	P. pinaster	0.1426525	
2001	nigra	low	nigra_low	0.1085746	359	12.07944	P. nigra	0.1214958	
2002	nigra	low	nigra_low	0.1229677	336.2	11.90305	P. nigra	0.1252569	
2003	nigra	low	nigra_low	0.1445175	350.7	11.48727	P. nigra	0.1395552	
2004	nigra	low	nigra_low	0.127417	340.7	11.36707	P. nigra	0.1456496	
2005	nigra	low	nigra_low	0.04128587	143.3	11.44162	P. nigra	0.1417448	
2006	nigra	low	nigra_low	0.09253699	355.1	11.5831	P. nigra	0.1354135	
2007	nigra	low	nigra_low	0.09946053	322.9	11.09165	P. nigra	0.164181	
