Note: [none]
Total # of Iterations:	50000	
Sample size:	383	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-2108.398	6	4229.019	4228.795	1.000288	0.4278503	
Model:	mtabi4
PDF:	User-defined function
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MA	513.3956	482.5919	533.9314	NaN	0	700	53.47649	
a	0.1123636	0.1001164	0.1223636	NaN	-0.5	0.5	0.03545093	
b	1	1.01	1	0.151126	1.5	1	-8.563083e+265	
c	-0.925509	-1.033169	-0.8531337	0.1609979	-2	2	0.549442	
d	9.206644	9.022511	9.29871	0.7034645	0	20	0.3820341	
scale	46.81462	41.76501	54.13316	3.547132	1	100	16.34356	

Non-varying parameters:
Label	Value
mean	predicted	
x	abi	
tmed	tmed	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MA	a	b	c	d	scale
MA	-9922.39	2.063337	37.43128	5.443767	-34.29394	7.132546	
168.9007	11.31679	121.4669	
226.6871	11.36243	119.1447	
185.4805	11.21471	126.9335	
225.7345	10.70226	160.5377	
221.4672	10.55819	171.9433	
58.00672	10.65748	163.9889	
132.7999	10.74932	157.0023	
101.1954	10.27977	196.4494	
106.4861	10.04482	219.5291	
182.1729	11.26267	124.3176	
276.3473	10.39393	186.0136	
217.5544	10.56176	171.6495	
64.60583	10.91	145.6293	
177.6238	9.910485	233.6131	
82.63091	10.81058	152.5392	
149.2773	11.25379	124.7954	
67.17191	10.75417	156.6432	
119.0722	11.60485	108.0035	
133.7165	9.91548	233.0789	
83.13197	11.08597	134.3869	
186.6667	11.4141	116.6038	
98.19742	10.84629	150.0103	
88.47702	10.67226	162.8402	
71.53199	10.26899	197.4613	
56.13742	12.37525	83.6476	
15.84824	11.9421	95.50695	
66.86317	10.08702	215.2321	
63.93504	11.1431	131.0013	
128.0662	11.76322	101.7322	
73.60438	11.98714	94.07236	
148.2792	11.66356	105.5911	
155.1424	11.99493	93.82925	
117.243	11.90282	96.80054	
125.8112	11.21308	127.0241	
140.2097	10.82874	151.2468	
68.25116	10.92854	144.386	
79.28423	11.12806	131.8803	
71.36199	10.84717	149.9489	
92.12562	10.35224	189.7627	
84.19531	11.56453	109.723	
106.2251	10.65089	164.5035	
148.5317	10.90389	146.0421	
69.85955	11.18644	128.5161	
165.8586	10.31331	193.3286	
102.4456	11.10675	133.1405	
91.96801	11.68766	104.631	
71.31115	11.13128	131.6915	
86.31931	11.82421	99.51179	
94.28434	10.1593	208.0233	

Likelihood History
Iteration	Temperature	Likelihood
0	5	-3772.498	
0.3333333	5	-2622.791	
0.5	5	-2509.125	
0.6666667	5	-2499.189	
1	5	-2133.756	
1.166667	5	-2120.107	
1.5	5	-2118.59	
2	5	-2118.427	
2.333333	5	-2112.15	
94.83333	5	-2111.205	
95.66667	5	-2110.878	
649.1667	5	-2110.752	
653.8333	5	-2110.652	
753.1667	5	-2109.845	
766	5	-2109.591	
768	5	-2109.148	
1000	5	-2109.148	
1285.333	5	-2109.095	
2000	4.875	-2109.095	
3000	4.875	-2109.095	
3226.167	4.875	-2108.823	
3226.833	4.875	-2108.599	
4000	4.753125	-2108.599	
4020.333	4.753125	-2108.42	
5000	4.753125	-2108.42	
6000	4.634297	-2108.42	
7000	4.634297	-2108.42	
8000	4.518439	-2108.42	
9000	4.518439	-2108.42	
10000	4.405478	-2108.42	
11000	4.405478	-2108.42	
12000	4.295342	-2108.42	
13000	4.295342	-2108.42	
14000	4.187958	-2108.42	
15000	4.187958	-2108.42	
16000	4.083259	-2108.42	
17000	4.083259	-2108.42	
18000	3.981178	-2108.42	
19000	3.981178	-2108.42	
20000	3.881648	-2108.42	
21000	3.881648	-2108.42	
22000	3.784607	-2108.42	
23000	3.784607	-2108.42	
24000	3.689992	-2108.42	
24473.83	3.689992	-2108.398	
25000	3.689992	-2108.398	
26000	3.597742	-2108.398	
27000	3.597742	-2108.398	
28000	3.507798	-2108.398	
29000	3.507798	-2108.398	
30000	3.420103	-2108.398	
31000	3.420103	-2108.398	
32000	3.334601	-2108.398	
33000	3.334601	-2108.398	
34000	3.251236	-2108.398	
35000	3.251236	-2108.398	
36000	3.169955	-2108.398	
37000	3.169955	-2108.398	
38000	3.090706	-2108.398	
39000	3.090706	-2108.398	
40000	3.013438	-2108.398	
41000	3.013438	-2108.398	
42000	2.938102	-2108.398	
43000	2.938102	-2108.398	
44000	2.86465	-2108.398	
45000	2.86465	-2108.398	
46000	2.793034	-2108.398	
47000	2.793034	-2108.398	
48000	2.723208	-2108.398	
49000	2.723208	-2108.398	
50000	2.655128	-2108.398	
