Note: [none]
Total # of Iterations:	2e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.772	5	477.787	477.544	0.9992032	0.4438469	
Model:	mcombrat1
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.9989342	0.3396376	1	5.974334	0	1	0.1784971	
OTmed	5	5	5.9	17.88067	5	20	12	
Tb	0.4737757	0.3439185	0.6052478	1.13003	0.01	5	4.99	
Popt	906.9227	300	1000	3731.501	300	1000	700	
Pb	1.341546	0.4292949	5	4.661097	0	5	5	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	
prec	prec	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	OTmed	Tb	Popt	Pb
MR	35.69267	-104.6436	6.159699	-3616.85	-2.027249	
OTmed	-104.6436	319.7183	-19.65852	12444.07	9.288544	
Tb	6.159699	-19.65852	1.276969	-593.6363	-0.6192679	
Popt	-3616.85	12444.07	-593.6363	13924100	15938.32	
Pb	-2.027249	9.288544	-0.6192679	15938.32	21.72582	

Source data
year	sp_code	elev_code	sp_elev	rat	prec	tmed	species	predicted	
2018	halepensis	medium	halepensis_medium	0.06278213	331.5	13.19144	P. halepensis	0.09265077	
2001	pinaster	low	pinaster_low	0.1573845	366.4	13.22271	P. pinaster	0.09671643	
2002	pinaster	low	pinaster_low	0.09247242	344.7	13.00417	P. pinaster	0.100644	
2003	pinaster	low	pinaster_low	0.1796374	354.1	12.71884	P. pinaster	0.1120818	
2004	pinaster	low	pinaster_low	0.1271469	327.9	12.64827	P. pinaster	0.1100012	
2005	pinaster	low	pinaster_low	0.04003083	147.1	12.66909	P. pinaster	0.05809343	
2006	pinaster	low	pinaster_low	0.1220973	370.9	12.90435	P. pinaster	0.1080028	
2007	pinaster	low	pinaster_low	0.05457975	318.7	12.35925	P. pinaster	0.1189334	
2008	pinaster	low	pinaster_low	0.09209923	298.7	12.24473	P. pinaster	0.1187567	
2009	pinaster	low	pinaster_low	0.08777828	476.6	13.21941	P. pinaster	0.108427	
2010	pinaster	low	pinaster_low	0.147539	561.7	12.50525	P. pinaster	0.1441702	
2011	pinaster	low	pinaster_low	0.1625557	271.4	12.83743	P. pinaster	0.0919997	
2012	pinaster	low	pinaster_low	0.04442081	276.6	13.05593	P. pinaster	0.08673653	
2013	pinaster	low	pinaster_low	0.1986661	382	12.1365	P. pinaster	0.1407955	
2014	pinaster	low	pinaster_low	0.08226787	258.1	13.12328	P. pinaster	0.08094809	
2015	pinaster	low	pinaster_low	0.07064392	213.9	13.41941	P. pinaster	0.06380336	
2016	pinaster	low	pinaster_low	0.03355328	313.9	13.12578	P. pinaster	0.09174536	
2017	pinaster	low	pinaster_low	0.07154471	200	13.75114	P. pinaster	0.05415701	
2018	pinaster	low	pinaster_low	0.09808652	448.9	12.33429	P. pinaster	0.1416216	
2019	pinaster	low	pinaster_low	0.04748416	267.3	13.37264	P. pinaster	0.07641765	
2020	pinaster	low	pinaster_low	0.1259869	321.5	13.44884	P. pinaster	0.08368793	
2021	pinaster	low	pinaster_low	0.05763474	199.8	13.45395	P. pinaster	0.05964791	
2001	pinaster	low-Dec	pinaster_low-Dec	0.1068164	359.4	12.74955	P. pinaster	0.1118196	
2002	pinaster	low-Dec	pinaster_low-Dec	0.1348452	335.1	12.55089	P. pinaster	0.114946	
2003	pinaster	low-Dec	pinaster_low-Dec	0.149858	348.1	12.19674	P. pinaster	0.1317164	
2004	pinaster	low-Dec	pinaster_low-Dec	0.1437259	338	12.10822	P. pinaster	0.133428	
2005	pinaster	low-Dec	pinaster_low-Dec	0.04349623	141.1	12.14503	P. pinaster	0.06605483	
2006	pinaster	low-Dec	pinaster_low-Dec	0.09018941	353.4	12.34522	P. pinaster	0.1264983	
2007	pinaster	low-Dec	pinaster_low-Dec	0.07338176	322.3	11.82288	P. pinaster	0.1425297	
2008	pinaster	low-Dec	pinaster_low-Dec	0.04840161	285.4	11.73981	P. pinaster	0.1359749	
2009	pinaster	low-Dec	pinaster_low-Dec	0.1039761	446.3	12.75106	P. pinaster	0.1233148	
2010	pinaster	low-Dec	pinaster_low-Dec	0.1173053	541	11.96879	P. pinaster	0.1699315	
2011	pinaster	low-Dec	pinaster_low-Dec	0.1305473	292.8	12.25463	P. pinaster	0.1169128	
2012	pinaster	low-Dec	pinaster_low-Dec	0.03379989	277.9	12.49898	P. pinaster	0.1043907	
2013	pinaster	low-Dec	pinaster_low-Dec	0.1174534	326.3	11.61853	P. pinaster	0.153357	
2014	pinaster	low-Dec	pinaster_low-Dec	0.05003962	252.3	12.56447	P. pinaster	0.09564476	
2015	pinaster	low-Dec	pinaster_low-Dec	0.09789741	218.7	12.8414	P. pinaster	0.07847767	
2016	pinaster	low-Dec	pinaster_low-Dec	0.03536019	304.8	12.54195	P. pinaster	0.1091211	
2017	pinaster	low-Dec	pinaster_low-Dec	0.04882452	199.1	13.19164	P. pinaster	0.06481062	
2018	pinaster	low-Dec	pinaster_low-Dec	0.07868437	445.6	11.68466	P. pinaster	0.1744071	
2019	pinaster	low-Dec	pinaster_low-Dec	0.04198474	252.4	12.74521	P. pinaster	0.09018274	
2020	pinaster	low-Dec	pinaster_low-Dec	0.09480179	323.4	12.92051	P. pinaster	0.09983964	
2021	pinaster	low-Dec	pinaster_low-Dec	0.07480113	202.2	12.89171	P. pinaster	0.07243155	
2001	pinaster	medium	pinaster_medium	0.26936	360.2	12.25136	P. pinaster	0.131724	
2002	pinaster	medium	pinaster_medium	0.189034	341.6	12.06719	P. pinaster	0.136005	
2003	pinaster	medium	pinaster_medium	0.3093132	355.5	11.65683	P. pinaster	0.1587012	
2004	pinaster	medium	pinaster_medium	0.2482097	326.3	11.55707	P. pinaster	0.1564333	
2005	pinaster	medium	pinaster_medium	0.04001177	147.8	11.61297	P. pinaster	0.08231021	
2006	pinaster	medium	pinaster_medium	0.1178683	362.9	11.78407	P. pinaster	0.1539185	
2007	pinaster	medium	pinaster_medium	0.0556492	322	11.27962	P. pinaster	0.1697682	
2008	pinaster	medium	pinaster_medium	0.1127203	335.5	11.05442	P. pinaster	0.1867531	
2009	pinaster	medium	pinaster_medium	0.1548122	532	12.19787	P. pinaster	0.1569572	
2010	pinaster	medium	pinaster_medium	0.2486419	666.6	11.4048	P. pinaster	0.2139461	
2011	pinaster	medium	pinaster_medium	0.3110653	305.6	11.72189	P. pinaster	0.1427228	
2012	pinaster	medium	pinaster_medium	0.0837598	334.9	11.98467	P. pinaster	0.1381949	
2013	pinaster	medium	pinaster_medium	0.228604	425	11.00224	P. pinaster	0.2130622	
2014	pinaster	medium	pinaster_medium	0.1205257	333.6	11.95345	P. pinaster	0.139303	
2015	pinaster	medium	pinaster_medium	0.1291197	260.8	12.41273	P. pinaster	0.1028675	
