Note: [none]
Total # of Iterations:	1e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
100.48	6	-188.6186	-188.9601	1.027679	0.5002233	
Model:	mcombrat7
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.5862935	0	1	1.055765	0	1	1	
b	0.2332348	0	0.6866351	0.869484	0	0.9	0.9	
k	-1.812549	-2	0.204424	9.329109	-2	2	4	
t0	9.803463	0	11.94081	3.849158	0	20	20	
Popt	692.3756	300	1000	1889.172	300	1000	700	
Pb	1.466628	0	5	9.038473	0	5	5	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	
prec	prec	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	b	k	t0	Popt	Pb
MR	1.114639	-0.5829135	6.99723	-3.585861	-130.8976	-0.248767	
2010	pinaster	high	pinaster_high	0.4185128	799.9	10.32817	P. pinaster	0.2607551	
2011	pinaster	high	pinaster_high	0.478777	353.3	10.55143	P. pinaster	0.2060136	
2012	pinaster	high	pinaster_high	0.2128957	371.2	10.89882	P. pinaster	0.1745261	
2013	pinaster	high	pinaster_high	0.4040281	454	9.824873	P. pinaster	0.3426729	
2014	pinaster	high	pinaster_high	0.197504	385.2	10.75392	P. pinaster	0.1891232	
2015	pinaster	high	pinaster_high	0.2710632	295.9	11.31034	P. pinaster	0.1388384	
2016	pinaster	high	pinaster_high	0.1525367	444.8	10.71864	P. pinaster	0.1993537	
2017	pinaster	high	pinaster_high	0.1960562	231.9	11.61003	P. pinaster	0.115954	
2018	pinaster	high	pinaster_high	0.3262517	506.9	10.01994	P. pinaster	0.3108724	
2019	pinaster	high	pinaster_high	0.138568	279.3	11.08017	P. pinaster	0.1462949	
2020	pinaster	high	pinaster_high	0.2202332	318.8	11.42356	P. pinaster	0.1385935	
2001	nigra	low	nigra_low	0.1085746	359	12.07944	P. nigra	0.1301632	
2002	nigra	low	nigra_low	0.1229677	336.2	11.90305	P. nigra	0.1297871	
2003	nigra	low	nigra_low	0.1445175	350.7	11.48727	P. nigra	0.1410212	
2004	nigra	low	nigra_low	0.127417	340.7	11.36707	P. nigra	0.1438598	
2005	nigra	low	nigra_low	0.04128587	143.3	11.44162	P. nigra	0.08914303	
2006	nigra	low	nigra_low	0.09253699	355.1	11.5831	P. nigra	0.138768	
2007	nigra	low	nigra_low	0.09946053	322.9	11.09165	P. nigra	0.1541088	
2008	nigra	low	nigra_low	0.0596355	297.7	10.91769	P. nigra	0.1605066	
2009	nigra	low	nigra_low	0.1932361	458.8	12.02929	P. nigra	0.138981	
2010	nigra	low	nigra_low	0.2550653	572.6	11.21354	P. nigra	0.1677151	
2011	nigra	low	nigra_low	0.237985	302.1	11.43551	P. nigra	0.1354461	
2012	nigra	low	nigra_low	0.07283805	288.3	11.72606	P. nigra	0.1255855	
2013	nigra	low	nigra_low	0.1092085	335.8	10.77581	P. nigra	0.1793794	
2014	nigra	low	nigra_low	0.06899374	270.5	11.70423	P. nigra	0.122678	
2015	nigra	low	nigra_low	0.09069465	228.8	12.07968	P. nigra	0.1082069	
2016	nigra	low	nigra_low	0.04204381	323.4	11.67049	P. nigra	0.1323968	
2017	nigra	low	nigra_low	0.1004605	201.1	12.4234	P. nigra	0.09855868	
2018	nigra	low	nigra_low	0.0970911	452.6	10.83334	P. nigra	0.1888465	
2019	nigra	low	nigra_low	0.06027039	256.5	11.95002	P. nigra	0.1158908	
2020	nigra	low	nigra_low	0.1406959	322.7	12.1936	P. nigra	0.1245105	
2021	nigra	low	nigra_low	0.1143764	203.9	12.11509	P. nigra	0.1013523	
2001	nigra	medium	nigra_medium	0.07969127	358.8	11.77294	P. nigra	0.1348126	
2002	nigra	medium	nigra_medium	0.0690587	335.6	11.61888	P. nigra	0.1353346	
2003	nigra	medium	nigra_medium	0.09859162	351.5	11.17159	P. nigra	0.1541133	
2004	nigra	medium	nigra_medium	0.06142529	346.2	11.03588	P. nigra	0.1611958	
2005	nigra	medium	nigra_medium	0.01988913	144.3	11.13217	P. nigra	0.09815132	
2006	nigra	medium	nigra_medium	0.0460038	355.8	11.23782	P. nigra	0.1513992	
2007	nigra	medium	nigra_medium	0.03301357	320.7	10.76736	P. nigra	0.1772916	
2008	nigra	medium	nigra_medium	0.02011435	299.2	10.55713	P. nigra	0.1936851	
2009	nigra	medium	nigra_medium	0.09045893	459.5	11.71132	P. nigra	0.1447023	
2010	nigra	medium	nigra_medium	0.1403275	584.4	10.87116	P. nigra	0.1921753	
2011	nigra	medium	nigra_medium	0.1341438	311.1	11.06629	P. nigra	0.1534993	
2012	nigra	medium	nigra_medium	0.02887239	293.3	11.36616	P. nigra	0.1362478	
2013	nigra	medium	nigra_medium	0.04479617	332.7	10.40011	P. nigra	0.2211718	
2014	nigra	medium	nigra_medium	0.02434118	276.5	11.3142	P. nigra	0.1348747	
2015	nigra	medium	nigra_medium	0.05118988	233.4	11.72756	P. nigra	0.1140156	
2016	nigra	medium	nigra_medium	0.02165737	330.6	11.268	P. nigra	0.1464486	
2017	nigra	medium	nigra_medium	0.06356096	202	12.07103	P. nigra	0.1011979	
2001	nigra	high	nigra_high	0.3170893	360.9	11.36243	P. nigra	0.146685	
2002	nigra	high	nigra_high	0.2377955	337.3	11.21471	P. nigra	0.1499131	
2003	nigra	high	nigra_high	0.3464311	358	10.70226	P. nigra	0.1902063	
2004	nigra	high	nigra_high	0.2816574	361.3	10.55819	P. nigra	0.206627	
2005	nigra	high	nigra_high	0.09565752	148.7	10.65748	P. nigra	0.1243846	
2006	nigra	high	nigra_high	0.1990407	358.1	10.74932	P. nigra	0.1856069	
2007	nigra	high	nigra_high	0.1211196	322	10.27977	P. nigra	0.2356988	
2008	nigra	high	nigra_high	0.1466144	306.6	10.04482	P. nigra	0.2683656	
2009	nigra	high	nigra_high	0.2626483	479.1	11.26267	P. nigra	0.1613842	
2010	nigra	high	nigra_high	0.3644781	622.5	10.39393	P. nigra	0.2508781	
2011	nigra	high	nigra_high	0.283016	331.7	10.56176	P. nigra	0.2005983	
2012	nigra	high	nigra_high	0.1164069	303.2	10.91	P. nigra	0.162207	
2013	nigra	high	nigra_high	0.2163242	331.8	9.910485	P. nigra	0.2996263	
2014	nigra	high	nigra_high	0.1126222	289.8	10.81058	P. nigra	0.1669428	
2015	nigra	high	nigra_high	0.2184333	243.3	11.25379	P. nigra	0.1295105	
2016	nigra	high	nigra_high	0.1012387	347.1	10.75417	P. nigra	0.1833427	
2017	nigra	high	nigra_high	0.1816787	204.2	11.60485	P. nigra	0.1083879	
2018	nigra	high	nigra_high	0.1813105	458.2	9.91548	P. nigra	0.3256199	
2019	nigra	high	nigra_high	0.1076421	255.8	11.08597	P. nigra	0.1404084	
2020	nigra	high	nigra_high	0.2435312	319.6	11.4141	P. nigra	0.1390418	
2001	sylvestris	low	sylvestris_low	0.1752625	557	11.99493	P. sylvestris	0.1434667	
2002	sylvestris	low	sylvestris_low	0.121445	632.8	11.90282	P. sylvestris	0.1462555	
2003	sylvestris	low	sylvestris_low	0.1414086	762	11.21308	P. sylvestris	0.168792	
2004	sylvestris	low	sylvestris_low	0.1390418	567.7	10.82874	P. sylvestris	0.1955854	
2005	sylvestris	low	sylvestris_low	0.08112583	306.9	10.92854	P. sylvestris	0.1616219	
2006	sylvestris	low	sylvestris_low	0.08830946	503.6	11.12806	P. sylvestris	0.1700501	
2007	sylvestris	low	sylvestris_low	0.07755052	428.3	10.84717	P. sylvestris	0.185439	
2008	sylvestris	low	sylvestris_low	0.1060988	722.2	10.35224	P. sylvestris	0.2580096	
2009	sylvestris	low	sylvestris_low	0.1035995	889.2	11.56453	P. sylvestris	0.152255	
2010	sylvestris	low	sylvestris_low	0.1193004	1430.6	10.65089	P. sylvestris	0.1914351	
2011	sylvestris	low	sylvestris_low	0.147881	608.7	10.90389	P. sylvestris	0.1898542	
2012	sylvestris	low	sylvestris_low	0.09275033	551.8	11.18644	P. sylvestris	0.1686044	
2013	sylvestris	low	sylvestris_low	0.1607469	582.8	10.31331	P. sylvestris	0.2626515	
2014	sylvestris	low	sylvestris_low	0.1034699	481.1	11.10675	P. sylvestris	0.1701251	
2015	sylvestris	low	sylvestris_low	0.1036026	365.4	11.68766	P. sylvestris	0.1373675	
